"procedure_code","block","procedure_desc","procedure_short_desc"
"3007516","977","Biopsy of pancreas","Biopsy of pancreas"
"3007517","988","Biopsy of abdominal wall or umbilicus","Biopsy of abdominal wall or umbilicus"
"3007518","375","Biopsy of intranasal space","Biopsy of intranasal space"
"3007519","392","Biopsy of tongue","Biopsy of tongue"
"3007520","747","Biopsy of blood vessel","Biopsy of blood vessel"
"3007521","1164","Biopsy of seminal vesicle","Biopsy of seminal vesicle"
"3007522","397","Biopsy of salivary gland or duct","Biopsy of salivary gland or duct"
"3007523","402","Biopsy of oral cavity","Biopsy of oral cavity"
"3007524","402","Biopsy of soft palate","Biopsy of soft palate"
"3007525","411","Biopsy of tonsils and adenoids","Biopsy of tonsils and adenoids"
"3007526","421","Pharyngeal biopsy","Pharyngeal biopsy"
"3007527","1196","Biopsy of penis","Biopsy of penis"
"3007528","303","Biopsy of external ear","Biopsy of external ear"
"3007529","312","Biopsy of middle ear","Biopsy of middle ear"
"3007530","331","Biopsy of inner ear","Biopsy of inner ear"
"3007531","1117","Biopsy of urethra","Biopsy of urethra"
"3007532","1128","Biopsy of perirenal or perivesical tissue","Biopsy perirenal or perivesical tissue"
"3007533","1075","Open biopsy of ureter","Open biopsy of ureter"
"3007534","932","Biopsy of anus","Biopsy of anus"
"3007535","246","Biopsy of lacrimal gland","Biopsy of lacrimal gland"
"3007536","215","Biopsy of extraocular muscle or tendon","Biopsy of extraocular muscle or tendon"
"3007537","988","Biopsy of peritoneum","Biopsy of peritoneum"
"3007538","1291","Biopsy of perineum","Biopsy of perineum"
"3008100","800","Biopsy of bone marrow","Biopsy of bone marrow"
"3008400","800","Percutaneous biopsy of bone marrow","Percutaneous biopsy of bone marrow"
"3008700","800","Aspiration biopsy of bone marrow","Aspiration biopsy of bone marrow"
"3009000","550","Percutaneous needle biopsy of pleura","Percutaneous needle biopsy of pleura"
"3009300","1382","Needle biopsy of vertebra","Needle biopsy of vertebra"
"3009400","1560","Percutaneous [needle] biopsy of soft tissue","Perc [needle] biopsy of soft tissue"
"3009401","112","Percutaneous [needle] biopsy of parathyroid glands","Perc [needle] bx of parathyroid glands"
"3009402","118","Percutaneous [needle] biopsy of adrenal gland","Perc [needle] biopsy of adrenal gland"
"3009403","814","Percutaneous [needle] biopsy of spleen","Percutaneous [needle] biopsy of spleen"
"3009404","964","Percutaneous needle biopsy of gall bladder or bile duct","Perc needle Bx gallbladder/bile duct"
"3009405","977","Percutaneous needle biopsy of pancreas","Percutaneous needle biopsy of pancreas"
"3009406","988","Percutaneous needle biopsy of intra-abdominal mass","Perc needle Bx intra-abdominal mass"
"3009407","1180","Percutaneous [needle] biopsy of testis","Percutaneous [needle] biopsy of testis"
"3009408","1163","Percutaneous [needle] biopsy of seminal vesicle","Perc [needle] biopsy of seminal vesicle"
"3009409","397","Percutaneous needle biopsy of salivary gland or duct","Perc needle Bx salivary gland or duct"
"3009410","112","Percutaneous [needle] biopsy of thyroid gland","Perc [needle] biopsy of thyroid gland"
"3009411","122","Percutaneous [needle] biopsy of pineal gland","Perc [needle] biopsy of pineal gland"
"3009412","127","Percutaneous [needle] biopsy of thymus gland","Perc [needle] biopsy of thymus gland"
"3009700","1858","Adrenocorticotropic hormone stimulation test","ACTH stimulation test"
"3009900","1630","Excision of sinus of skin and subcutaneous tissue","Excision of sinus of SSCT"
"3010300","1565","Excision of sinus involving soft tissue, not elsewhere classified","Excision sinus inv soft tissue NEC"
"3010400","303","Excision of pre-auricular sinus","Excision of pre-auricular sinus"
"3010700","1564","Excision of ganglion, not elsewhere classified","Excision of ganglion, NEC"
"3010701","1566","Excision of small bursa","Excision of small bursa"
"3011100","1566","Excision of large bursa","Excision of large bursa"
"3011400","1505","Excision of Baker's cyst","Excision of Baker's cyst"
"3016500","1666","Lipectomy of abdominal apron","Lipectomy of abdominal apron"
"3016800","1666","Lipectomy, 1 excision","Lipectomy, 1 excision"
"3017100","1666","Lipectomy, 2 or more excisions","Lipectomy, 2 or more excisions"
"3017400","1666","Lipectomy of abdominal apron, subumbilical","Lipectomy, abdominal apron, subumbilical"
"3017700","1666","Lipectomy of abdominal apron, radical","Lipectomy of abdominal apron, radical"
"3017800","1000","Closure of secondary defect of abdomen with umbilicus reconstruction","Cls sec defect abdo w umbilicus recon"
"3018000","1633","Partial excision of axillary sweat glands","Partial excision axillary sweat glands"
"3018300","1633","Total excision of axillary sweat glands","Total excision of axillary sweat glands"
"3018600","1619","Removal of plantar wart","Removal of plantar wart"
"3018601","1619","Removal of palmar wart","Removal of palmar wart"
"3018700","1619","Removal of plantar wart under general anaesthesia ","Removal of plantar wart under GA"
"3018701","1619","Removal of palmar wart under general anaesthesia ","Removal of palmar wart under GA"
"3018900","1619","Removal of molluscum contagiosum","Removal of molluscum contagiosum"
"3018901","1619","Removal of other wart","Removal of other wart"
"3018902","1619","Removal of other wart under general anaesthesia","Removal of other wart under GA"
"3019000","1612","Laser to lesion of face or neck","Laser to lesion of face or neck"
"3019200","1612","Other destruction of lesion of skin","Other destruction of lesion of skin"
"3019500","1612","Curettage of lesion of skin, single lesion","Curettage lesion of skin, single lsn"
"3019501","1612","Curettage of lesion of skin, multiple lesions","Curettage lsn skin, multiple lsn"
"3019502","1612","Laser to lesion of skin, single lesion","Laser to lesion of skin, single lesion"
"3019503","1612","Laser to lesion of skin, multiple lesions","Laser to multiple skin lesions"
"3019504","1612","Cryotherapy of lesion of skin, single lesion","Cryotherapy of single skin lesion"
"3019505","1612","Cryotherapy of lesion of skin, multiple lesions","Cryotherapy of multiple skin lesions"
"3019506","1612","Electrotherapy of lesion of skin, single lesion","Electrotherapy of single skin lesion"
"3019507","1612","Electrotherapy of lesion of skin, multiple lesions","Electrotherapy of multiple skin lesions"
"3019600","1614","Curettage of malignant lesion of skin, single lesion","Curettage malgt lsn of skin single lsn"
"3019601","1614","Laser to malignant lesion of skin, single lesion","Laser to single malignant skin lesion"
"3019700","1614","Curettage of malignant lesion of skin, multiple lesions","Curettage malgt lsn skin, multiple lsn"
"3019701","1614","Laser to malignant lesion of skin, multiple lesions","Laser, multiple malignant skin lesions"
"3020200","1614","Cryotherapy to malignant lesion of skin, single lesion","Cryotherapy, sgl malignant skin lesion"
"3020300","1614","Cryotherapy to malignant lesion of skin, multiple lesions","Cryotherapy, mult malignant skin lesions"
"3020500","1612","Cryotherapy to lesion involving skin and cartilage, single lesion","Cryotherapy sgl lsn, skin & cart"
"3020501","1612","Cryotherapy to lesion involving skin and cartilage, multiple lesions","Cryotherapy mult lsn, sk & cart"
"3020700","1602","Administration of agent into skin lesion","Administration of agent into skin lesion"
"3021000","1602","Injection into skin lesion under general anaesthesia","Injection into skin lesion under GA"
"3021300","743","Diathermy of telangiectases of head or neck","Diathermy of telangiectases of head/neck"
"3021301","742","Administration of agent to telangiectases of head or neck","Admin agt telangectses head/neck"
"3021600","1604","Aspiration of haematoma of skin and subcutaneous tissue","Aspiration haematoma of SSCT"
"3021601","1604","Aspiration of abscess of skin and subcutaneous tissue","Aspiration abscess of SSCT"
"3021602","1604","Other aspiration of skin and subcutaneous tissue","Other aspiration of SSCT"
"3022300","1606","Incision and drainage of haematoma of skin and subcutaneous tissue","Incision & drainage of haematoma of SSCT"
"3022301","1606","Incision and drainage of abscess of skin and subcutaneous tissue","Incision & drainage of abscess of SSCT"
"3022302","1606","Other incision and drainage of skin and subcutaneous tissue","Other incision & drainage of SSCT"
"3022303","1559","Incision and drainage of abscess of soft tissue","Incision & drain abscess, soft tissue"
"3022400","1559","Percutaneous drainage of abscess of soft tissue","Perc drainage abscess, soft tissue"
"3022401","987","Percutaneous drainage of intra-abdominal abscess, haematoma or cyst","Perc drain intrabdo abs haematoma cyst"
"3022402","987","Percutaneous drainage of retroperitoneal abscess, haematoma or cyst","Perc drain retrpertnl abs haemtma cyst"
"3022500","1554","Reinsertion of drainage tube into soft tissue abscess","Re-ins drain tube soft tis abscess"
"3022600","1558","Fasciotomy, not elsewhere classified","Fasciotomy, not elsewhere classified"
"3022900","1565","Excision of muscle, not elsewhere classified","Excision of muscle, NEC"
"3023500","1573","Repair of ruptured muscle, not elsewhere classified","Repair of ruptured muscle, NEC"
"3023800","1574","Repair of fascia, not elsewhere classified","Repair of fascia, NEC"
"3024100","1563","Excision of lesion of bone, not elsewhere classified","Excision of lesion of bone, NEC"
"3044300","965","Cholecystectomy","Cholecystectomy"
"3024400","324","Removal of styloid process of temporal bone","R/O styloid process of temporal bone"
"3024700","397","Total excision of parotid gland","Total excision of parotid gland"
"3025000","397","Total excision of parotid gland with preservation of facial nerve","Tot exc parotid gland, preserve fac nrv"
"3025300","397","Partial excision of parotid gland","Partial excision of parotid gland"
"3025500","397","Removal of submandibular ducts","Removal of submandibular ducts"
"3025600","397","Excision of submandibular gland","Excision of submandibular gland"
"3025900","397","Excision of sublingual gland","Excision of sublingual gland"
"3026200","398","Dilation of salivary gland or duct","Dilation of salivary gland or duct"
"3026201","396","Diathermy of salivary gland or duct","Diathermy of salivary gland or duct"
"3026600","395","Incision of salivary gland or duct","Incision of salivary gland or duct"
"3026601","395","Marsupialisation of cyst of salivary gland or duct","Marsupialisation cyst salivary gland/dct"
"3026602","395","Removal of calculus from salivary gland or duct","Removal calculus salivary gland / duct"
"3026900","398","Repair of fistula of salivary gland or duct","Repair fistula of salivary gland or duct"
"3027200","392","Partial excision of tongue","Partial excision of tongue"
"3027500","403","Radical excision of intraoral lesion","Radical excision of intraoral lesion"
"3027800","392","Lingual fraenectomy","Lingual fraenectomy"
"3027801","390","Lysis of adhesions of tongue","Lysis of adhesions of tongue"
"3027802","390","Lingual fraenotomy","Lingual fraenotomy"
"3028100","401","Labial fraenotomy","Labial fraenotomy"
"3028101","404","Labial fraenectomy","Labial fraenectomy"
"3028300","403","Excision of cyst of mouth","Excision of cyst of mouth"
"3028600","421","Excision of branchial cyst","Excision of branchial cyst"
"3028900","421","Excision of branchial fistula","Excision of branchial fistula"
"3029300","867","Oesophagostomy","Oesophagostomy"
"3029301","867","Closure of oesophagostomy","Closure of oesophagostomy"
"3029302","855","Oesophagotomy","Oesophagotomy"
"3029400","861","Cervical oesophagectomy","Cervical oesophagectomy"
"3029401","529","Laryngopharyngectomy and plastic reconstruction","Laryngopharyngectomy & plastic recon"
"3029600","115","Total thyroidectomy","Total thyroidectomy, bilateral"
"3029601","114","Total thyroidectomy","Total thyroidectomy"
"3029700","115","Total thyroidectomy, following previous thyroid surgery","Tot thyrdecty foll prev thyroid surg"
"3029701","114","Subtotal thyroidectomy, following previous thyroid surgery","Subtot thyrdecty foll prev thyroid surg"
"3029702","114","Thyroidectomy following previous thyroid surgery","Thyrdecty foll prev thyroid surg"
"3030000","808","Sentinel lymph node biopsy of axilla","Sentinel lymph node biopsy of axilla"
"3030001","805","Sentinel lymph node biopsy, not elsewhere classified","Sentinel lymph node biopsy NEC"
"3030600","115","Total thyroid lobectomy, unilateral","Total thyroid lobectomy, unilateral"
"3030601","114","Total thyroid lobectomy, unilateral","Total thyroid lobectomy, unilateral"
"3030800","114","Subtotal thyroidectomy, bilateral","Subtotal thyroidectomy, bilateral"
"3030900","114","Subtotal thyroidectomy for thyrotoxicosis","Subtot thyroidectomy for thyrotoxicosis"
"3031000","114","Subtotal thyroidectomy, unilateral","Subtotal thyroidectomy, unilateral"
"3031001","116","Excision of lesion of thyroid","Excision of lesion of thyroid"
"3031300","116","Excision of thyroglossal cyst","Excision of thyroglossal cyst"
"3031400","116","Radical excision of thyroglossal cyst or fistula","Radical exc thyroglossal cyst or fistula"
"3031500","113","Subtotal parathyroidectomy","Subtotal parathyroidectomy"
"3031501","113","Total parathyroidectomy","Total parathyroidectomy"
"3031700","804","Re-exploration of lymph node of neck","Re-exploration of lymph node of neck"
"3032000","561","Exploration of mediastinum via mediastinotomy","Exploration mediastinum v mediastinotomy"
"3032001","128","Removal of thymus via mediastinotomy","Removal of thymus via mediastinotomy"
"3032100","989","Excision of retroperitoneal neuro-endocrine lesion","Exc retroperitoneal neuro-endocrine lsn"
"3032300","989","Excision of retroperitoneal neuro-endocrine lesion with retroperitoneal dissection","Exc retrpertnl neurendocrn lsn w dissect"
"3032400","120","Excision of tumour of adrenal gland","Excision of tumour of adrenal gland"
"3032500","806","Excision of lymph node of neck","Excision of lymph node of neck"
"3032501","806","Regional excision of lymph nodes of neck","Regional excision lymph nodes of neck"
"3032800","806","Radical excision of lymph nodes of neck","Radical excision of lymph nodes of neck"
"3032900","809","Excision of lymph node of groin","Excision of lymph node of groin"
"3032901","809","Regional excision of lymph nodes of groin","Regional excision lymph nodes of groin"
"3033000","809","Radical excision of lymph nodes of groin","Radical excision of lymph nodes of groin"
"3033200","808","Excision of lymph node of axilla","Excision of lymph node of axilla"
"3033201","808","Regional excision of lymph nodes of axilla","Regional excision lymph nodes of axilla"
"3033300","808","Radical excision of lymph nodes of axilla","Radical excision lymph nodes of axilla"
"3033500","808","Regional excision of lymph nodes of axilla","Regional excision lymph nodes of axilla"
"3033600","808","Radical excision of lymph nodes of axilla","Radical excision of lymph nodes, axilla"
"3033800","1748","Simple mastectomy, unilateral","Simple mastectomy, unilateral"
"3033801","1748","Simple mastectomy with frozen section biopsy, unilateral","Simple mastectomy w FS Bx, unilateral"
"3033802","1748","Simple mastectomy, bilateral","Simple mastectomy, bilateral"
"3033803","1748","Simple mastectomy with frozen section biopsy, bilateral","Simple mastectomy w FS Bx, bilateral"
"3034200","1744","Local excision of lesion of breast","Local excision of lesion of breast"
"3034201","1745","Segmental resection of breast","Segmental resection of breast"
"3034400","1743","Open biopsy of breast","Open biopsy of breast"
"3034600","1744","Local excision of lesion of breast with frozen section biopsy","Local excision lesion of breast w FS Bx"
"3034601","1745","Segmental resection of breast with frozen section biopsy","Segmental resection of breast w FS Bx"
"3034700","1744","Excision of lesion of breast","Excision of lesion of breast"
"3034800","1744","Re-excision of lesion of breast","Re-excision of lesion of breast"
"3035000","1746","Partial mastectomy","Partial mastectomy"
"3035001","1746","Partial mastectomy with frozen section biopsy","Partial mastectomy w frozen section Bx"
"3035100","1748","Simple mastectomy, unilateral","Simple mastectomy, unilateral"
"3035101","1748","Simple mastectomy, bilateral","Simple mastectomy, bilateral"
"3035300","1749","Extended simple mastectomy, unilateral","Extended simple mastectomy, Unilateral"
"3035301","1749","Extended simple mastectomy with frozen section biopsy, unilateral","Extended simple mastectomy w FS Bx, unil"
"3035302","1749","Extended simple mastectomy, bilateral","Extended simple mastectomy, bilateral"
"3035303","1749","Extended simple mastectomy with frozen section biopsy, bilateral","Extended simple mastectomy w FS Bx, bil"
"3035400","1747","Subcutaneous mastectomy, unilateral","Subcutaneous mastectomy, unilateral"
"3035401","1747","Subcutaneous mastectomy, bilateral","Subcutaneous mastectomy, bilateral"
"3035600","1747","Subcutaneous mastectomy, unilateral","Subcutaneous mastectomy, unilateral"
"3035601","1747","Subcutaneous mastectomy with frozen section biopsy, unilateral","Subcutaneous mastectomy w FS Bx, unil"
"3035602","1747","Subcutaneous mastectomy, bilateral","Subcutaneous mastectomy, bilateral"
"3035603","1747","Subcutaneous mastectomy with frozen section biopsy, bilateral","Subcutaneous mastectomy w FS Bx, bil"
"3035900","1750","Modified radical mastectomy, unilateral","Modified radical mastectomy, unilateral"
"3035901","1750","Modified radical mastectomy with frozen section biopsy, unilateral","Modified radical mastectomy w FS Bx unil"
"3035902","1750","Modified radical mastectomy, bilateral","Modified radical mastectomy, bilateral"
"3035903","1750","Modified radical mastectomy with frozen section biopsy, bilateral","Modified radical mastectomy w FS Bx, bil"
"3035904","1751","Radical mastectomy, unilateral","Radical mastectomy, unilateral"
"3035905","1751","Radical mastectomy with frozen section biopsy, unilateral","Radical mastectomy w FS Bx, unilateral"
"3035906","1751","Radical mastectomy, bilateral","Radical mastectomy, bilateral"
"3035907","1751","Radical mastectomy with frozen section biopsy, bilateral","Radical mastectomy w FS Bx, bilateral"
"3036000","1743","Fine needle biopsy of breast","Fine needle biopsy of breast"
"3036100","1740","Localisation of lesion of breast","Localisation of lesion of breast"
"3036300","1743","Core biopsy of breast","Core biopsy of breast"
"3036400","1742","Incision and drainage of breast","Incision and drainage of breast"
"3036600","1742","Microdochotomy of breast","Microdochotomy of breast"
"3036700","1752","Excision of duct (central) of breast","Excision of duct (central) of breast"
"3036900","1752","Excision of accessory breast tissue","Excision of accessory breast tissue"
"3037000","1755","Surgical eversion of inverted nipple","Surgical eversion of inverted nipple"
"3037200","1752","Excision of accessory nipple","Excision of accessory nipple"
"3037300","985","Exploratory laparotomy","Exploratory laparotomy"
"3037500","915","Caecostomy","Caecostomy"
"3037501","897","Other enterostomy","Other enterostomy"
"3037502","907","Colotomy","Colotomy"
"3037503","893","Enterotomy of small intestine","Enterotomy of small intestine"
"3037504","915","Other colostomy","Other colostomy"
"3037505","969","Cholecystostomy","Cholecystostomy"
"3037506","871","Gastrotomy","Gastrotomy"
"3037507","881","Gastrostomy","Gastrostomy"
"3037508","898","Reduction of intussusception of small intestine","Reduction intussusception sm intestine"
"3037509","896","Excision of Meckel's diverticulum","Excision of Meckel's diverticulum"
"3037510","887","Suture of perforated ulcer","Suture of perforated ulcer"
"3037511","916","Reduction of intussusception of large intestine","Reduction intussusception, lrg intestine"
"3037512","887","Reduction of gastric volvulus","Reduction of gastric volvulus"
"3037513","883","Pyloroplasty","Pyloroplasty"
"3410316","726","Interruption of axillary vein","Interruption of axillary vein"
"3037514","976","Incision and drainage of pancreas","Incision and drainage of pancreas"
"3037515","871","Gastrotomy with removal of foreign body","Gastrotomy with removal of foreign body"
"3037516","892","Insertion of feeding jejunostomy tube","Insertion of feeding jejunostomy tube"
"3037517","916","Reduction of volvulus of large intestine","Reduction of volvulus of large intestine"
"3037518","898","Reduction of volvulus of small intestine","Reduction of volvulus of small intestine"
"3037519","901","Other repair of small intestine","Other repair of small intestine"
"3037520","813","Splenotomy","Splenotomy"
"3037521","817","Other procedures on spleen","Other procedures on spleen"
"3037522","873","Transabdominal gastroscopy","Transabdominal gastroscopy"
"3037523","907","Endoscopic examination of large intestine via laparotomy","Endosc exam large intestine v laparotomy"
"3037524","901","Suture of small intestine","Suture of small intestine"
"3037525","917","Suture of laceration of large intestine","Suture of laceration of large intestine"
"3037526","963","Cholecystotomy","Cholecystotomy"
"3037527","976","Marsupialisation of pancreatic cyst","Marsupialisation of pancreatic cyst"
"3037528","915","Temporary colostomy","Temporary colostomy"
"3037529","897","Temporary ileostomy","Temporary ileostomy"
"3037530","927","Appendicostomy","Appendicostomy"
"3037531","881","Gastro-gastrostomy","Gastro-gastrostomy"
"3037800","986","Division of abdominal adhesions","Division of abdominal adhesions"
"3038200","901","Radical repair of enterocutaneous fistula of small intestine","Rad rep enterocutaneous fist sm intest"
"3038201","901","Percutaneous repair of enterocutaneous fistula of small intestine","Perc rep enterocutaneous fist sm intest"
"3038202","917","Radical repair of enterocutaneous fistula of large intestine","Rad rep enterocutaneous fist lrg intest"
"3038203","917","Percutaneous repair of enterocutaneous fistula of large intestine","Perc rep enterocutaneous fist lrg intest"
"3038400","985","Staging laparotomy for lymphoma","Staging laparotomy for lymphoma"
"3038500","985","Postoperative reopening of laparotomy site","Postoperative reopening laparotomy site"
"3039000","984","Laparoscopy","Laparoscopy"
"3039100","988","Laparoscopy with biopsy","Laparoscopy with biopsy"
"3039200","989","Debulking of intra-abdominal lesion","Debulking of intra-abdominal lesion"
"3039300","986","Laparoscopic division of abdominal adhesions","Laparoscopic division abdo adhesions"
"3039400","987","Drainage of intra-abdominal abscess, haematoma or cyst","Drain intrabdo abscess haematoma cyst"
"3039401","987","Laparoscopic drainage of intra-abdominal abscess, haematoma or cyst","Lap drain intrabdo abscess haemtma cyst"
"3039600","989","Debridement and lavage of peritoneal cavity","Debridement & lavage peritoneal cavity"
"3039700","987","Laparostomy via previous surgical wound","Laparostomy via previous surgical wound"
"3039900","1000","Closure of laparostomy","Closure of laparostomy"
"3040000","766","Insertion of implantable vascular infusion device, intra-abdominal vessel","Ins impl vasc infus dev intrabdo vesl"
"3040200","987","Drainage of retroperitoneal abscess, haematoma or cyst","Drain retrpertnl abs haemtma cyst"
"3040300","993","Repair of incisional hernia","Repair of incisional hernia"
"3040301","996","Repair of other abdominal wall hernia","Repair of other abdominal wall hernia"
"3040303","1000","Reclosure of postoperative disruption of abdominal wall","Reclosure postop disruption abdo wall"
"3040304","1000","Delayed closure of granulating abdominal wound","Delayed closure granulating abdo wound"
"3040305","1000","Repair of abdominal wall following procurement of myocutaneous flap","Rep abdo wall foll procure myocutns flap"
"3040500","993","Repair of incisional hernia with muscle transposition","Rep incisional hernia w muscle trnspostn"
"3040501","993","Repair of incisional hernia with prosthesis","Repair incisional hernia with prosthesis"
"3040502","993","Repair of incisional hernia with resection of strangulated intestine","Rep incisnl hernia resec strangd intest"
"3040503","996","Repair of other abdominal wall hernia with muscle transposition","Rep oth abdo wall hernia musc trnspostn"
"3040504","996","Repair of other abdominal wall hernia with prosthesis","Repair other abdo wall hernia w prosth"
"3040505","996","Repair of other abdominal wall hernia with resection of strangulated intestine","Rep oth abdo hrn w resec strangd intest"
"3040600","983","Abdominal paracentesis","Abdominal paracentesis"
"3040800","983","Insertion of peritoneovenous shunt","Insertion of peritoneovenous shunt"
"3040900","953","Percutaneous [closed] liver biopsy","Percutaneous [closed] liver biopsy"
"3041100","953","Intraoperative biopsy of liver","Intraoperative biopsy of liver"
"3041200","953","Intraoperative needle biopsy of liver","Intraoperative needle biopsy of liver"
"3041400","953","Excision of lesion of liver","Excision of lesion of liver"
"3041500","953","Segmental resection of liver","Segmental resection of liver"
"3041600","952","Laparoscopic marsupialisation of liver cyst","Laparoscopic marsupialisation liver cyst"
"3041700","952","Laparoscopic marsupialisation of multiple liver cysts","Lap marsupialisation, mult liver cysts"
"3041800","953","Lobectomy of liver","Lobectomy of liver"
"3041900","956","Cryotherapy of liver","Cryotherapy of liver"
"3042100","953","Trisegmental resection of liver","Trisegmental resection of liver"
"3042200","954","Repair of traumatic superficial laceration of liver","Rep traumatic spfl laceration of liver"
"3042500","954","Repair of traumatic deep, multiple lacerations of liver","Rep traum deep, mult lacerations liver"
"3042700","953","Segmental resection of liver for trauma","Segmental resection of liver for trauma"
"3042800","953","Lobectomy of liver for trauma","Lobectomy of liver for trauma"
"3043000","953","Trisegmental resection of liver for trauma","Trisegmental resection liver for trauma"
"3043100","952","Abdominal drainage of liver abscess","Abdominal drainage of liver abscess"
"3043300","952","Abdominal drainage of multiple liver abscesses","Abdominal drainage mult liver abscesses"
"3043400","955","Evacuation of hydatid cyst of liver","Evacuation of hydatid cyst of liver"
"3043401","1002","Evacuation of hydatid cyst of peritoneum","Evacuation hydatid cyst of peritoneum"
"3043402","1002","Evacuation of hydatid cyst of abdominal organ","Evacuation hydatid cyst of abdo organ"
"3043600","955","Evacuation of hydatid cyst of liver with omentoplasty or myeloplasty","Evac hydatid cyst liver w oment/myeloply"
"3043601","1002","Evacuation of hydatid cyst of peritoneum with omentoplasty or myeloplasty","Evac hydatid cyst peritnm oment/myeloply"
"3043602","1002","Evacuation of hydatid cyst of abdominal organ with omentoplasty or myeloplasty","Evac hydatid cyst abdo oment/myeloplasty"
"3043800","955","Excision of hydatid cyst of liver with drainage and excision of liver tissue","Exc hydatid cyst liver, drain & excision"
"3043900","957","Intraoperative cholangiography","Intraoperative cholangiography"
"3043901","974","Intraoperative pancreatography","Intraoperative pancreatography"
"3043902","1949","Intraoperative ultrasound of biliary tract","Intraoperative u/s of biliary tract"
"3044000","957","Percutaneous transhepatic cholangiography","Perc transhepatic cholangiography"
"3044001","963","Percutaneous biliary drainage","Percutaneous biliary drainage"
"3044100","1949","Intra-operative ultrasound for staging of intra-abdominal lesion","Intraop u/s for staging intrabdo lesion"
"3044500","965","Laparoscopic cholecystectomy","Laparoscopic cholecystectomy"
"3044600","965","Laparoscopic cholecystectomy proceeding to open cholecystectomy","Lap cholecystectomy proceed open chole"
"3044800","965","Laparoscopic cholecystectomy with exploration of common bile duct via cystic duct","Lap chole w expl CBD v cystic duct"
"3044900","965","Laparoscopic cholecystectomy with exploration of common bile duct via laparoscopic choledochotomy","Lap chole w expl CBD via lap choledhty"
"3045000","959","Extraction of calculus of biliary tract by imaging techniques","Extr calculus biliary tract, image tech"
"3045001","1041","Extraction of calculus of renal tract by imaging techniques","Extr calculus renal tract by image tech"
"3045100","960","Other replacement of biliary stent","Other replacement of biliary stent"
"3045101","960","Other removal of biliary stent","Other removal of biliary stent"
"3045102","960","Endoscopic replacement of biliary stent","Endoscopic replacement of biliary stent"
"3045103","960","Endoscopic removal of biliary stent","Endoscopic removal of biliary stent"
"3045200","971","Choledochoscopy with dilation","Choledochoscopy with dilation"
"3045201","958","Choledochoscopy with stenting","Choledochoscopy with stenting"
"3045202","959","Choledochoscopy with removal of calculus","Choledochoscopy w removal of calculus"
"3045400","963","Choledochotomy","Choledochotomy"
"3045401","965","Cholecystectomy with choledochotomy","Cholecystectomy with choledochotomy"
"3045500","965","Cholecystectomy with choledochotomy and biliary intestinal anastomosis","Cholecystectomy, choledochotomy & anstms"
"3045700","963","Intrahepatic choledochotomy with removal of intrahepatic bile duct calculus","Intrahep choledochotomy w R/O calculus"
"3045800","964","Biopsy of sphincter of Oddi","Biopsy of sphincter of Oddi"
"3045801","963","Incision of sphincter of Oddi","Incision of sphincter of Oddi"
"3045802","968","Local excision of lesion of bile ducts or sphincter of Oddi","Loc exc lsn BDs or sphc of Oddi"
"3045803","963","Removal of bile duct calculus from sphincter of Oddi","R/O bile duct calculus, sphincter Oddi"
"3045804","971","Repair of sphincter of Oddi","Repair of sphincter of Oddi"
"3045805","971","Repair of pancreatic duct sphincter","Repair of pancreatic duct sphincter"
"3045806","981","Repair of pancreatic duct sphincter","Repair of pancreatic duct sphincter"
"3046000","969","Cholecystoduodenostomy","Cholecystoduodenostomy"
"3046001","969","Cholecystoenterostomy","Cholecystoenterostomy"
"3046002","969","Cholecystopancreatostomy","Cholecystopancreatostomy"
"3046003","969","Choledochoduodenostomy","Choledochoduodenostomy"
"3046004","969","Choledochojejunostomy","Choledochojejunostomy"
"3046005","969","Choledochoenterostomy","Choledochoenterostomy"
"3046006","969","Choledochopancreatostomy","Choledochopancreatostomy"
"3046007","969","Hepaticoenterostomy","Hepaticoenterostomy"
"3046008","970","Roux-en-Y intestino-biliary bypass","Roux-en-Y intestino-biliary bypass"
"3046100","966","Radical resection of porta hepatis","Radical resection of porta hepatis"
"3046300","966","Radical resection of hepatic ducts","Radical resection of hepatic ducts"
"3046400","966","Radical resection of hepatic ducts with resection of segment of liver","Rad resec hepatic ducts w resec liver"
"3046600","970","Bypass of left hepatic ductal system by Roux-en-Y loop to peripheral ductal system","Byps L heptc sys Roux-en-Y to perph sys"
"3046700","970","Bypass of right hepatic ductal system by Roux-en-Y loop to peripheral ductal system","Byps R heptc sys Roux-en-Y to perph sys"
"3046900","971","Repair of biliary stricture","Repair of biliary stricture"
"3047000","971","Repair of bile duct fistula","Repair of bile duct fistula"
"3047200","971","Repair of hepatic duct","Repair of hepatic duct"
"3047201","971","Repair of common bile duct","Repair of common bile duct"
"3047300","1005","Panendoscopy to duodenum","Panendoscopy to duodenum"
"3047301","1008","Panendoscopy to duodenum with biopsy","Panendoscopy to duodenum with biopsy"
"3047302","1005","Panendoscopy through artificial stoma","Panendoscopy through artificial stoma"
"3047303","850","Oesophagoscopy","Oesophagoscopy"
"3047304","861","Oesophagoscopy with biopsy","Oesophagoscopy with biopsy"
"3047305","1005","Panendoscopy to ileum","Panendoscopy to ileum"
"3047306","1008","Panendoscopy to ileum with biopsy","Panendoscopy to ileum with biopsy"
"3047307","1005","Panendoscopy to duodenum with administration of tattooing agent","Panendo to duodnm w tattooing"
