"procedure_code","procedure_desc"
3041800,"Lobectomy of liver"
3380601,"Embolectomy or thrombectomy of brachial artery"
4738100,"Closed reduction of fracture of shaft of radius"
4171000,"Radical maxillary antrostomy, unilateral"
4545101,"Full thickness skin graft of nose"
3037510,"Suture of perforated ulcer"
3047800,"Panendoscopy to duodenum with removal of foreign body"
4749500,"Traction of fracture of acetabulum"
9206100,"Administration of coagulation factors"
3532107,"Transcatheter embolisation of blood vessels of limbs"
3048300,"Insertion of percutaneous nonendoscopic gastrostomy button"
4646500,"Amputation of finger"
3155700,"Excision of duct (central) of breast"
4936000,"Arthroscopy of hip"
3732401,"Internal urethrotomy"
4176401,"Sinoscopy"
9031501,"Excision of other lesion or tissue of anus"
4262300,"Dacryocystorhinostomy [DCR]"
4956102,"Arthroscopic removal of loose body of knee with debridement, osteoplasty or chondroplasty"
4824200,"Bone graft with internal fixation, not elsewhere classified"
4166800,"Removal of nasal polyp"
3530906,"Percutaneous transluminal balloon angioplasty with stenting, single stent"
3855901,"Replacement of aortic arch and ascending thoracic aorta"
3720900,"Radical prostatectomy"
3029300,"Oesophagostomy"
3665600,"Retrograde pyeloscopy with fragmentation of renal calculus"
3563810,"Laparoscopic salpingectomy, bilateral"
4864800,"Posterolateral spinal fusion, 1 or 2 levels"
4970301,"Arthroscopic trimming of osteophyte of ankle"
3051802,"Partial proximal gastrectomy with oesophagogastric anastomosis"
4931900,"Total arthroplasty of hip, bilateral"
4970302,"Arthroscopic removal of loose body of ankle"
4953900,"Arthroscopic reconstruction of knee"
3010701,"Excision of small bursa"
3037517,"Reduction of volvulus of large intestine"
4864500,"Posterior spinal fusion, 3 or more levels"
3100000,"Microscopically controlled serial excision of lesion(s) of skin"
6007200,"Digital subtraction selective arteriography or venography, 1 vessel"
4756600,"Closed reduction of fracture of shaft of tibia with internal fixation"
4952100,"Total arthroplasty of knee with bone graft to femur, unilateral"
4520000,"Local skin flap of other site"
3209002,"Fibreoptic colonoscopy to caecum with administration of tattooing agent"
4971801,"Repair of Achilles' tendon"
6142100,"Whole body bone study"
3051504,"Laparoscopic ileocolic resection with anastomosis"
9060601,"Removal of other soft tissue implant"
9614800,"Play/leisure/recreation therapy"
3686300,"Litholapaxy of bladder"
4545107,"Full thickness skin graft of finger"
3684505,"Endoscopic resection of multiple lesions of bladder"
3564600,"Radical diathermy of cervix"
3563805,"Laparoscopic ovarian cystectomy, bilateral"
4554801,"Removal of breast tissue expander"
1150316,"Continuous monitoring of pulmonary function for >= 6 hours duration"
4738403,"Open reduction of fracture of shaft of ulna with internal fixation"
3207500,"Rigid sigmoidoscopy"
3564903,"Myomectomy of uterus"
3971200,"Removal of lesion of cerebral meninges"
4556600,"Insertion of tissue expander"
4840902,"Osteotomy of radius with internal fixation"
3557100,"Repair of posterior vaginal compartment, vaginal approach"
3350000,"Carotid endarterectomy"
5034200,"Transfer of posterior tibialis tendon through interosseous membrane to anterior or posterior aspect of foot"
3123004,"Excision of lesion(s) of skin and subcutaneous tissue of finger"
4561400,"Reconstruction of eyelid"
3971501,"Partial excision of pituitary gland, transsphenoidal approach"
3007516,"Biopsy of pancreas"
3453004,"Removal of venous catheter"
4274000,"Diagnostic aspiration of aqueous humor"
3016500,"Lipectomy of abdominal apron"
3065300,"Male circumcision"
9047106,"Manual rotation of fetal head"
9034401,"Administration of other therapeutic agent to anorectal region"
3721001,"Laparoscopic radical prostatectomy with bladder neck reconstruction"
4520609,"Local skin flap of other areas of face"
3552000,"Treatment of Bartholin's gland abscess"
4820900,"Bone graft to tibia with internal fixation"
9251410,"General anaesthesia, ASA 10"
3839002,"Insertion of permanent transvenous electrode into other heart chamber(s) for cardiac defibrillator"
3146200,"Insertion of feeding jejunostomy tube"
3684200,"Endoscopic lavage of blood clots from bladder"
3030000,"Sentinel lymph node biopsy of axilla"
4890001,"Excision of calcium deposit from rotator cuff"
9251430,"General anaesthesia, ASA 30"
4950900,"Synovectomy of knee"
9057400,"Excision of lesion of joint, not elsewhere classified"
9251539,"Sedation, ASA 39"
4738103,"Closed reduction of fracture of shaft of ulna with internal fixation"
9034301,"Laparoscopic procedure proceeding to open procedure"
9028200,"Excision of lymph node of other site"
5630100,"Computerised tomography of chest"
9251429,"General anaesthesia, ASA 29"
9250829,"Neuraxial block, ASA 29"
4796301,"Tenoplasty, not elsewhere classified"
9251419,"General anaesthesia, ASA 19"
9251529,"Sedation, ASA 29"
4500901,"Muscle flap"
9251530,"Sedation, ASA 30"
4775600,"Closed reduction of fracture of mandible with fixation"
9251499,"General anaesthesia, ASA 99"
3043900,"Intraoperative cholangiography"
9250819,"Neuraxial block, ASA 19"
9251449,"General anaesthesia, ASA 49"
3020700,"Administration of agent into skin lesion"
9251599,"Sedation, ASA 99"
9250720,"Neuraxial block during labour and delivery procedure, ASA 20"
9619908,"Intravenous administration of pharmacological agent, electrolyte"
3019501,"Curettage of lesion of skin, multiple lesions"
3860000,"Cardiopulmonary bypass, central cannulation"
1420300,"Direct subdermal hormone implantation"
9046804,"Forceps rotation of fetal head with delivery"
9251549,"Sedation, ASA 49"
9251440,"General anaesthesia, ASA 40"
9250799,"Neuraxial block during labour and delivery procedure, ASA 99"
9737700,"Dental treatment involving removal or repair of soft tissue, not elsewhere classified"
3005201,"Repair of wound of eyelid"
3721500,"Endoscopic biopsy of prostate"
9603200,"Psychosocial assessment"
9620900,"Loading of drug delivery device, antineoplastic agent"
3039600,"Debridement and lavage of peritoneal cavity"
9251439,"General anaesthesia, ASA 39"
4545100,"Full thickness skin graft of eyelid"
4956000,"Arthroscopic removal of loose body of knee"
4970602,"Removal of loose body of ankle"
3932100,"Transposition of nerve"
9251420,"General anaesthesia, ASA 20"
3665200,"Retrograde pyeloscopy"
9250839,"Neuraxial block, ASA 39"
3563300,"Division of intrauterine adhesions"
9617600,"Behaviour therapy"
9250739,"Neuraxial block during labour and delivery procedure, ASA 39"
4001500,"Subtemporal decompression"
3835000,"Insertion of permanent transvenous electrode into other heart chamber(s) for cardiac pacemaker"
4551500,"Revision of scar of other site <= 7 cm in length"
3002600,"Repair of wound of skin and subcutaneous tissue of other site, superficial"
9250619,"Neuraxial block during labour, ASA 19"
4639602,"Ostectomy of finger"
4563500,"Rhinoplasty involving correction of bony vault"
4544805,"Small split skin graft of hand"
4955800,"Arthroscopic debridement of knee"
9017800,"Other repair of diaphragm"
3901300,"Administration of agent into zygo-apophyseal (facet) joint"
1825200,"Administration of anaesthetic agent around cervical plexus"
9251519,"Sedation, ASA 19"
4955702,"Arthroscopic excision of meniscal margin or plica of knee"
3661500,"Laparoscopic ureterolysis"
4564100,"Rhinoplasty using nasal or septal cartilage graft"
4756601,"Open reduction of fracture of shaft of tibia with internal fixation"
9250710,"Neuraxial block during labour and delivery procedure, ASA 10"
4171602,"Intranasal maxillary antrostomy, bilateral"
3007534,"Biopsy of anus"
3006200,"Removal of subdermal hormone implant"
9217300,"Passive immunisation with Rh(D) immunoglobulin"
4797501,"Decompression fasciotomy of calf for acute compartment syndrome"
5012401,"Administration of agent into joint or other synovial cavity, not elsewhere classified"
3842101,"Pulmonary decortication"
3571309,"Salpingectomy, unilateral"
4558701,"Browlift, unilateral"
9030800,"Endoscopic destruction of lesion of large intestine"
4545109,"Full thickness skin graft of other site"
3680600,"Endoscopic biopsy of ureter"
3653101,"Nephroureterectomy"
3665601,"Retrograde pyeloscopy with fragmentation and extraction of renal calculus"
9251510,"Sedation, ASA 10"
4545103,"Full thickness skin graft of ear"
3848101,"Repair of mitral valve, >= 2 leaflets"
3056302,"Repair of parastomal hernia"
9732200,"Surgical removal of 1 tooth not requiring removal of bone or tooth division"
3383303,"Direct closure of iliac artery"
4552701,"Augmentation mammoplasty following mastectomy, bilateral"
4970304,"Arthroscopic synovectomy of ankle"
9251520,"Sedation, ASA 20"
4970000,"Arthroscopy of ankle"
3847701,"Tricuspid valve annuloplasty with ring insertion"
3413300,"Scalenotomy"
4868400,"Segmental internal fixation of spine, 1 or 2 levels"
9250830,"Neuraxial block, ASA 30"
9250899,"Neuraxial block, ASA 99"
1421501,"Adjustment of gastric band reservoir"
4280900,"Destruction of retina by photocoagulation"
1501200,"Brachytherapy, eye"
9001102,"Other repair on spinal canal or spinal cord structures"
9250810,"Neuraxial block, ASA 10"
3064407,"Excision of lesion of testicle"
4795700,"Lengthening of tendon, not elsewhere classified"
4261401,"Probing of lacrimal passages, unilateral"
9213800,"Removal of foreign body from head or neck without incision"
3913701,"Replacement of other peripheral nerve electrodes"
9251590,"Sedation, ASA 90"
9004701,"Incision of thyroid"
3685100,"Endoscopic administration of agent into bladder wall"
9046805,"Failed forceps"
4821200,"Bone graft to humerus"
4188900,"Rigid bronchoscopy"
3849701,"Coronary artery bypass, using 2 saphenous vein grafts"
1550601,"Radiation field setting using dedicated CT scanner"
3200300,"Limited excision of large intestine with anastomosis"
9250719,"Neuraxial block during labour and delivery procedure, ASA 19"
3844100,"Radical lobectomy"
9215000,"Administration of poliomyelitis vaccine"
3039401,"Laparoscopic drainage of intra-abdominal abscess, haematoma or cyst"
1656700,"Other management of postpartum haemorrhage"
9057000,"Division of joint capsule, ligament or cartilage, not elsewhere classified"
4736301,"Closed reduction of fracture of distal ulna"
3848300,"Decalcification of aortic valve leaflet"
3005500,"Dressing of wound"
4955900,"Arthroscopic chondroplasty of knee with multiple drilling or implant"
4841201,"Ostectomy of humerus"
4520603,"Local skin flap of ear"
4950000,"Open biopsy of knee"
3213800,"Haemorrhoidectomy"
3865304,"Other intrathoracic procedures on aortic valve with cardiopulmonary bypass"
9016500,"Other procedures on bronchus"
4736601,"Open reduction of fracture of distal ulna"
4985101,"Correction of claw toe with internal fixation"
1381501,"Percutaneous central vein catheterisation"
9067800,"Partial resection of other facial bone, not elsewhere classified"
3970301,"Drainage of intracranial lesion or cyst"
3835002,"Removal of permanent transvenous electrode of other heart chamber(s) for cardiac pacemaker"
4865700,"Posterior spinal fusion with laminectomy, 2 or more levels"
9618900,"Omentectomy"
3841800,"Exploratory thoracotomy"
4567100,"Reconstruction of lip using flap, single or first stage"
9032800,"Excision of lesion of peritoneal tissue"
3064408,"Excision of lesion of spermatic cord or epididymis"
3684506,"Endoscopic destruction of a single lesion of bladder > 2 cm in diameter"
4823900,"Bone graft, not elsewhere classified"
4702400,"Closed reduction of dislocation of proximal radio-ulnar joint"
3850301,"Coronary artery bypass, using >= 2 RIMA grafts"
3520200,"Access for reoperation of arteries or veins of neck, abdomen or limb"
4272500,"Removal of vitreous with division of vitreal bands and removal of preretinal membrane"
9613900,"Exercise therapy, cardiorespiratory/cardiovascular system"
9007600,"Other procedures on iris"
9206300,"Administration of blood expander"
3059700,"Splenectomy"
4565603,"Composite graft to other site"
3703800,"Laparoscopic closure of vesicointestinal fistula"
9034800,"Percutaneous aspiration of gallbladder"
4520602,"Local skin flap of lip"
9620100,"Intracavitary administration of pharmacological agent, antineoplastic agent"
9251490,"General anaesthesia, ASA 90"
4563800,"Total rhinoplasty"
9619909,"Intravenous administration of pharmacological agent, other and unspecified pharmacological agent"
3835003,"Replacement of permanent transvenous electrode of other heart chamber(s) for cardiac defibrillator"
4559000,"Reconstruction of orbital cavity"
3855600,"Repair of ascending thoracic aorta with aortic valve repair and implantation of coronary arteries"
4840301,"Osteotomy of toe with internal fixation"
3019506,"Electrotherapy of lesion of skin, single lesion"
2200700,"Endotracheal intubation, single lumen"
3880600,"Insertion of intercostal catheter for drainage"
9555011,"Allied health intervention, other"
9206600,"Insertion of rectal tube"
3561400,"Colposcopy"
4633000,"Repair of ligament or capsule of interphalangeal joint of hand"
3700403,"Repair of ruptured bladder"
3047308,"Panendoscopy to ileum with administration of tattooing agent"
4175201,"Sphenoidectomy"
9046901,"Failed vacuum extraction"
3871502,"Other repair of main pulmonary artery"
4733601,"Closed reduction of fracture of metacarpus with internal fixation"
9251540,"Sedation, ASA 40"
3142301,"Regional excision of lymph nodes of neck"
4736603,"Open reduction of fracture of distal ulna with internal fixation"
3039400,"Drainage of intra-abdominal abscess, haematoma or cyst"
4276404,"Iridectomy"
4520600,"Local skin flap of eyelid"
3037525,"Suture of laceration of large intestine"
3031501,"Total parathyroidectomy"
4748600,"Open reduction of fracture of pelvis with internal fixation of anterior segment"
4556200,"Noninnervated free flap"
9250730,"Neuraxial block during labour and delivery procedure, ASA 30"
4552200,"Reduction mammoplasty, unilateral"
4980900,"Open tenotomy of foot"
3860300,"Cardiopulmonary bypass, peripheral cannulation"
9619600,"Intra-arterial administration of pharmacological agent, antineoplastic agent"
9006600,"Other repair of cornea"
3932700,"Neurectomy of deep peripheral nerve"
4173101,"Ethmoidectomy with sphenoidectomy, frontonasal approach"
9057401,"Excision of joint, not elsewhere classified"
4894500,"Arthroscopy of shoulder"
9204600,"Replacement of tracheostomy tube"
9057200,"Ostectomy, not elsewhere classified"
4822700,"Bone graft to radius or ulna with internal fixation"
3658801,"Reimplantation of ureter into bladder, unilateral"
3849703,"Coronary artery bypass, using >= 4 saphenous vein grafts"
4630001,"Arthrodesis of metacarpophalangeal joint"
4176404,"Tracheoscopy through artificial stoma"
4584500,"Intraoral osseointegrated dental implant, first stage"
4556300,"Island flap with vascular pedicle"
1533800,"Brachytherapy, prostate"
4274003,"Administration of therapeutic agent into posterior chamber"
4277000,"Destruction of ciliary body"
3025300,"Partial excision of parotid gland"
3047901,"Endoscopic laser therapy to rectum"
9200900,"Combined alcohol and drug detoxification"
4840900,"Osteotomy of fibula with internal fixation"
5040500,"Flexorplasty of elbow"
4866000,"Anterior spinal fusion, 1 level"
3560800,"Cautery of cervix"
3031000,"Subtotal thyroidectomy, unilateral"
3003200,"Repair of wound of skin and subcutaneous tissue of face or neck, superficial"
9211600,"Removal of other device from genital tract"
9250620,"Neuraxial block during labour, ASA 20"
9618700,"Pastoral ministry"
3068800,"Endoscopic ultrasound"
9090800,"Ultrasound of other site"
4651601,"Removal of fingernail"
9251239,"Regional block, nerve of lower limb, ASA 39"
3700806,"Division of intraluminal bladder adhesions"
5010400,"Synovectomy of joint, not elsewhere classified"
4796600,"Transfer of tendon or ligament, not elsewhere classified"
6003300,"Digital subtraction angiography of abdomen, >= 10 data acquisition runs"
3156300,"Surgical eversion of inverted nipple"
4972800,"Lengthening of gastrocnemius and/or soleus tendon"
9738100,"Surgical exposure of unerupted tooth with stimulation and packing"
9752101,"Adhesive restoration of anterior tooth, 1 surface, direct"
9028202,"Radical excision of lymph nodes of other site"
9620000,"Subcutaneous administration of pharmacological agent, antineoplastic agent"
9616800,"Assistance with activities related to home management"
3550600,"Replacement of intrauterine device [IUD]"
3007524,"Biopsy of soft palate"
3353900,"Endarterectomy of extremities"
3033000,"Radical excision of lymph nodes of groin"
1181000,"Measurement of gastro-oesophageal reflux involving 24 hour pH monitoring"
3680901,"Endoscopic destruction of ureteric lesion"
4796300,"Open tenotomy, not elsewhere classified"
3037507,"Gastrostomy"
4793302,"Excision of exostosis of small bone, not elsewhere classified"
3007523,"Biopsy of oral cavity"
9250999,"Regional block, nerve of head or neck, ASA 99"
4983700,"Correction of hallux valgus by osteotomy of first metatarsal and transfer of adductor hallucis tendon, unilateral"
3123504,"Excision of lesion(s) of skin and subcutaneous tissue of foot"
3571314,"Excision of lesion of pelvic cavity"
4176402,"Fibreoptic examination of pharynx"
3007528,"Biopsy of external ear"
9250820,"Neuraxial block, ASA 20"
4545124,"Full thickness skin graft of other areas of face"
9032400,"Transplantation of pancreas"
4270401,"Repositioning of artificial lens"
4170400,"Aspiration and lavage of nasal sinus through natural ostium "
4956002,"Arthroscopic lateral release of knee"
9055200,"Other repair of hip"
4520608,"Local skin flap of genitals"
4842100,"Osteotomy of tibia with internal fixation"
9056701,"Fasciotomy for lower limb ischaemia"
4260800,"Insertion of other nasolacrimal tube/stent into lacrimal/conjunctival sac for drainage"
4954200,"Arthroscopic reconstruction of cruciate ligament of knee with repair of meniscus"
3855300,"Repair of ascending thoracic aorta with aortic valve repair"
3700402,"Other repair of bladder"
6006900,"Digital subtraction angiography of aorta and lower limb, >= 10 data acquisition runs, unilateral"
3829002,"Open ablation of arrhythmia circuit or focus involving both atrial chambers"
4165300,"Examination of nasal cavity and/or postnasal space"
9028201,"Regional excision of lymph nodes of other site"
3556800,"Sacrospinous colpopexy"
3839001,"Insertion of permanent transvenous electrode into left ventricle for cardiac defibrillator"
3563802,"Laparoscopic oophorectomy, unilateral"
3564001,"Curettage of uterus without dilation"
3060100,"Repair of diaphragmatic hernia, abdominal approach"
4545105,"Full thickness skin graft of hand"
5012700,"Arthroplasty of joint, not elsewhere classified"
9056900,"Osteotomy, not elsewhere classified"
6005700,"Digital subtraction angiography of lower limb, >= 10 data acquisition runs, unilateral"
3051401,"Revision procedure for obesity"
5560000,"Transrectal ultrasound of prostate, bladder base and urethra"
4760000,"Closed reduction of fracture of ankle with internal fixation of diastasis, fibula or malleolus"
5036900,"Posterior release of knee contracture with release of joint capsule, unilateral"
4250300,"Ophthalmological examination"
9334102,"Electroconvulsive therapy [ECT], 2 treatments"
1310008,"Continuous peritoneal dialysis, long term"
3722401,"Endoscopic resection of lesion of prostate"
3701100,"Percutaneous cystotomy [cystostomy]"
4970600,"Arthrotomy of ankle"
4553900,"Reconstruction of breast with insertion of tissue expander"
1220301,"Overnight oximetry"
3217402,"Drainage of ischiorectal abscess"
3562000,"Biopsy of endometrium"
4268300,"Excision of lesion or tissue of conjunctiva"
3553902,"Laser destruction of lesion of cervix"
1310004,"Continuous haemodiafiltration"
4972700,"Lengthening of Achilles' tendon"
4640501,"Bone graft of phalanx of hand with internal fixation"
9036500,"Other procedures on urethra"
3571302,"Rupture of ovarian cyst or abscess"
3550000,"Gynaecological examination"
4772600,"Procurement of bone for graft via separate incision"
3037514,"Incision and drainage of pancreas"
9732301,"Surgical removal of 1 tooth requiring removal of bone"
4162601,"Myringotomy, bilateral"
4171603,"Intranasal removal of polyp from maxillary antrum"
9251219,"Regional block, nerve of lower limb, ASA 19"
9250929,"Regional block, nerve of head or neck, ASA 29"
9031400,"Other procedures on rectum"
9251229,"Regional block, nerve of lower limb, ASA 29"
9022000,"Catheterisation/cannulation of other vein"
4544801,"Small split skin graft of nose"
3563707,"Laparoscopic rupture of ovarian cyst or abscess"
5031200,"Synovectomy of ankle"
9251139,"Regional block, nerve of upper limb, ASA 39"
9250939,"Regional block, nerve of head or neck, ASA 39"
9618600,"Pastoral assessment"
9600100,"Psychological skills training"
1553600,"Brachytherapy planning, simple"
4178700,"Uvulectomy with partial palatectomy"
4090300,"Neuroendoscopy"
9044900,"Other repair of vagina"
4840605,"Ostectomy of ulna"
9251099,"Regional block, nerve of trunk, ASA 99"
5990303,"Aortography"
4175202,"Sphenoidotomy"
3037300,"Exploratory laparotomy"
9250849,"Neuraxial block, ASA 49"
9251129,"Regional block, nerve of upper limb, ASA 29"
9013100,"Local excision of other intranasal lesion"
3685400,"Endoscopic incision of bladder neck"
3650001,"Total adrenalectomy, unilateral"
3874200,"Percutaneous closure of atrial septal defect"
9251120,"Regional block, nerve of upper limb, ASA 20"
9250910,"Regional block, nerve of head or neck, ASA 10"
9251299,"Regional block, nerve of lower limb, ASA 99"
3828704,"Open ablation of arrhythmia circuit or focus involving left atrial chamber"
3007538,"Biopsy of perineum"
3135000,"Excision of lesion of soft tissue, not elsewhere classified"
4840904,"Osteotomy of ulna with internal fixation"
3532104,"Transcatheter embolisation of blood vessels, chest"
4545110,"Full thickness skin graft to burn of eyelid"
1826000,"Administration of anaesthetic agent around multiple intercostal nerves"
9216800,"Vaccination against hepatitis B"
3864700,"Division of thoracic adhesions"
4645300,"Tenolysis of flexor tendon of hand"
5013000,"Application of external fixation device not elsewhere classified"
9251020,"Regional block, nerve of trunk, ASA 20"
9206000,"Administration of autologous blood"
4158100,"Removal of lesion involving infratemporal fossa"
9251230,"Regional block, nerve of lower limb, ASA 30"
9251199,"Regional block, nerve of upper limb, ASA 99"
4863901,"Excision of vertebra with spinal cord involvement"
3037506,"Gastrotomy"
9620109,"Intracavitary administration of pharmacological agent, other and unspecified pharmacological agent"
5010300,"Arthrotomy of joint, not elsewhere classified"
9251450,"General anaesthesia, ASA 50"
9251029,"Regional block, nerve of trunk, ASA 29"
9250729,"Neuraxial block during labour and delivery procedure, ASA 29"
3850001,"Coronary artery bypass, using 1 RIMA graft"
9251039,"Regional block, nerve of trunk, ASA 39"
4820600,"Bone graft to tibia"
3665400,"Retrograde pyeloscopy with biopsy of kidney"
3650000,"Partial adrenalectomy"
3533000,"Percutaneous insertion of inferior vena cava filter"
3354200,"Extended endarterectomy of deep femoral artery"
4500301,"Myocutaneous flap"
9251240,"Regional block, nerve of lower limb, ASA 40"
1555600,"Dosimetry by CT interfacing computer for three dimensional conformal radiation therapy [3DCRT]"
3041200,"Intraoperative needle biopsy of liver"
9603400,"Alcohol and other drug assessment"
4253000,"Exploratory orbitotomy requiring removal and replacement of bone"
3847702,"Aortic valve annuloplasty with ring insertion"
9251800,"Intravenous postprocedural infusion, patient controlled analgesia (PCA)"
3563803,"Laparoscopic oophorectomy, bilateral"
3820000,"Right heart catheterisation"
3875102,"Closure of ventricular septal defect"
3006100,"Removal of foreign body from skin and subcutaneous tissue without incision"
4894800,"Arthroscopic debridement of shoulder"
9250840,"Neuraxial block, ASA 40"
4277301,"Repair of retinal detachment by cryotherapy"
4736000,"Immobilisation of fracture of distal radius"
4791500,"Wedge resection of ingrown toenail"
9001106,"Other excision procedures on spinal canal or spinal cord structures"
3037503,"Enterotomy of small intestine"
9251019,"Regional block, nerve of trunk, ASA 19"
3821200,"Cardiac electrophysiological study, >= 4 catheters"
9060319,"Sequestrectomy of metatarsus"
3700001,"Partial excision of bladder"
9251210,"Regional block, nerve of lower limb, ASA 10"
9200600,"Drug detoxification"
4921500,"Reconstruction of wrist"
4759700,"Closed reduction of fracture of ankle"
3217100,"Anorectal examination"
3841500,"Incision of pleura"
9743100,"Periapical curettage, per root"
3009405,"Percutaneous needle biopsy of pancreas"
9610200,"Systems therapy"
9046502,"Other medical induction of labour "
3154800,"Core biopsy of breast"
3828600,"Removal of subcutaneously implanted monitoring device"
1183000,"Anal manometry"
9250610,"Neuraxial block during labour, ASA 10"
9032300,"Other procedures on biliary tract"
9207600,"Removal of impacted faeces"
1370601,"Administration of whole blood"
9251702,"Management of regional block, nerve of upper limb"
3865301,"Other intrathoracic procedures on atrium with cardiopulmonary bypass"
6007800,"Digital subtraction selective arteriography or venography, 3 vessels"
9058900,"Repair of bone, not elsewhere classified"
9753200,"Adhesive restoration of posterior tooth, 2 surfaces, direct"
3046007,"Hepaticoenterostomy"
3354800,"Patch graft of artery using autologous material"
9732210,"Full lower dental clearance"
1420301,"Direct living tissue implantation"
1821632,"Spinal injection of opioid"
4985100,"Correction of hammer toe with internal fixation"
4790601,"Removal of toenail"
9250890,"Neuraxial block, ASA 90"
9201100,"Video and radiotelemetered electroencephalographic [EEG] monitoring"
4190400,"Bronchoscopy with dilation"
4867800,"Simple internal fixation of spine"
3563706,"Biopsy of ovary"
3022401,"Percutaneous drainage of intra-abdominal abscess, haematoma or cyst"
9213000,"Papanicolaou smear study"
3682400,"Endoscopic ureteric catheterisation, unilateral"
9014100,"Local excision or destruction of lesion of bony palate"
9058200,"Suture of ligament, not elsewhere classified"
9250629,"Neuraxial block during labour, ASA 29"
1826400,"Administration of anaesthetic agent around pudendal nerve"
4842404,"Ostectomy of proximal femur"
3037528,"Temporary colostomy"
4173702,"Ethmoidectomy, unilateral"
9047900,"Suture of current obstetric laceration of vagina"
3851200,"Division of accessory pathway involving 1 atrial chamber"
3018901,"Removal of other wart"
4633900,"Synovectomy of flexor or extensor tendon of hand"
9053300,"Other repair of shoulder"
4544804,"Small split skin graft of neck"
9067600,"Other procedures on skin and subcutaneous tissue"
4822400,"Bone graft to radius or ulna"
4796601,"Transfer of muscle, not elsewhere classified"
3018601,"Removal of palmar wart"
1825400,"Administration of anaesthetic agent around brachial plexus"
3572601,"Staging laparotomy"
