"diag_code","diag_desc"
"K3181","Angiodysplasia of stomach and duodenum without mention of haemorrhage"
"T203","Full thickness burn of head and neck"
"Z433","Attention to colostomy"
"M2556","Pain in a joint, lower leg"
"C56","Malignant neoplasm of ovary"
"F259","Schizoaffective disorder, unspecified"
"B377","Candidal sepsis"
"Q220","Pulmonary valve atresia"
"D126","Benign neoplasm of colon, unspecified"
"P128","Other birth trauma to scalp"
"S6231","Fracture of base of other metacarpal bone(s)"
"E668","Other obesity"
"M2557","Pain in a joint, ankle and foot"
"I493","Ventricular premature depolarisation"
"E049","Nontoxic goitre, unspecified"
"J13","Pneumonia due to Streptococcus pneumoniae"
"I713","Abdominal aortic aneurysm, ruptured"
"S644","Injury of digital nerve of other finger"
"S668","Injury of other muscles and tendons at wrist and hand level"
"K352","Acute appendicitis with generalised peritonitis"
"G618","Other inflammatory polyneuropathies"
"N049","Nephrotic syndrome, unspecified"
"E870","Hyperosmolality and hypernatraemia"
"H5989","Other postprocedural disorders of eye and adnexa, not elsewhere classified"
"S8351","Sprain and strain of anterior cruciate ligament"
"S5252","Fracture of lower end of radius with volar angulation"
"A083","Other viral enteritis"
"M204","Other hammer toe(s) (acquired)"
"N178","Other acute kidney failure"
"G4010","Localisation-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy"
"D259","Leiomyoma of uterus, unspecified"
"Z4001","Prophylactic surgery for risk-factors related to malignant neoplasms, Ovary"
"S7210","Fracture of trochanteric section of femur, unspecified"
"K641","Second degree haemorrhoids"
"G728","Other specified myopathies"
"R31","Unspecified haematuria"
"G410","Grand mal status epilepticus"
"I442","Atrioventricular block, complete"
"Q5311","Undescended testicle, unilateral, canalicular"
"S272","Traumatic haemopneumothorax"
"S920","Fracture of calcaneus"
"T424","Benzodiazepines"
"I712","Thoracic aortic aneurysm, without mention of rupture"
"S899","Unspecified injury of lower leg"
"M500","Cervical disc disorder with myelopathy"
"A045","Campylobacter enteritis"
"N431","Infected hydrocele"
"T859","Unspecified complication of internal prosthetic device, implant and graft"
"S7205","Fracture of base of neck of femur"
"F123","Mental and behavioural disorders due to use of cannabinoids, withdrawal state"
"Z089","Follow-up examination after unspecified treatment for malignant neoplasm"
"G4090","Epilepsy, unspecified, without mention of intractable epilepsy"
"R478","Other and unspecified speech disturbances"
"S650","Injury of ulnar artery at wrist and hand level"
"O83","Other assisted single delivery"
"S8353","Rupture of anterior cruciate ligament"
"S4200","Fracture of clavicle, part unspecified"
"S4222","Fracture of surgical neck of humerus"
"D648","Other specified anaemias"
"I983","Oesophageal varices with bleeding in diseases classified elsewhere"
"J339","Nasal polyp, unspecified"
"M779","Enthesopathy, unspecified"
"S434","Sprain and strain of shoulder joint"
"Z430","Attention to tracheostomy"
"Q7639","Congenital scoliosis due to other specified congenital bony malformation"
"M2402","Loose body in joint, upper arm"
"K644","Residual haemorrhoidal skin tags"
"R391","Other difficulties with micturition"
"R073","Other chest pain"
"M501","Cervical disc disorder with radiculopathy"
"M4317","Spondylolisthesis, lumbosacral region"
"S130","Traumatic rupture of cervical intervertebral disc"
"K439","Other and unspecified ventral hernia without obstruction or gangrene"
"N941","Dyspareunia"
"Z0371","Observation of newborn for suspected infectious condition"
"O722","Delayed and secondary postpartum haemorrhage"
"M542","Cervicalgia"
"T835","Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system"
"A150","Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
"Q2830","Congenital malformation of cerebral vessels, unspecified"
"I7021","Atherosclerosis of arteries of extremities with intermittent claudication"
"S562","Injury of other flexor muscle and tendon at forearm level"
"L570","Actinic keratosis"
"D250","Submucous leiomyoma of uterus"
"Z748","Other problems related to care-provider dependency"
"J950","Tracheostomy malfunction"
"C434","Malignant melanoma of scalp and neck"
"R102","Pelvic and perineal pain"
"D464","Refractory anaemia, unspecified"
"N814","Uterovaginal prolapse, unspecified"
"K073","Anomalies of tooth position"
"C436","Malignant melanoma of upper limb, including shoulder"
"F502","Bulimia nervosa"
"F102","Mental and behavioural disorders due to use of alcohol, dependence syndrome"
"F3230","Severe depressive episode with psychotic symptoms, not specified as arising in the postnatal period"
"Q400","Congenital hypertrophic pyloric stenosis"
"C252","Malignant neoplasm of tail of pancreas"
"H408","Other glaucoma"
"C301","Malignant neoplasm of middle ear"
"K769","Liver disease, unspecified"
"R4581","Suicidal ideation"
"G4030","Generalised idiopathic epilepsy and epileptic syndromes, without mention of intractable epilepsy"
"D24","Benign neoplasm of breast"
"F6031","Emotionally unstable personality disorder, borderline type"
"F103","Mental and behavioural disorders due to use of alcohol, withdrawal state"
"F500","Anorexia nervosa"
"D171","Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk"
"N809","Endometriosis, unspecified"
"T8578","Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts"
"S930","Dislocation of ankle joint"
"M4802","Spinal stenosis, cervical region"
"E210","Primary hyperparathyroidism"
"S321","Fracture of sacrum"
"C503","Malignant neoplasm of lower-inner quadrant of breast"
"I471","Supraventricular tachycardia"
"I633","Cerebral infarction due to thrombosis of cerebral arteries"
"Q4339","Other congenital malformations of intestinal fixation"
"I212","Acute transmural myocardial infarction of other sites"
"O036","Spontaneous abortion, complete or unspecified, complicated by delayed or excessive haemorrhage"
"S682","Traumatic amputation of two or more fingers alone (complete)(partial)"
"D3771","Neoplasm of uncertain or unknown behaviour of pancreas"
"M436","Torticollis"
"R15","Faecal incontinence"
"N830","Follicular cyst of ovary"
"L0301","Cellulitis of finger"
"I453","Trifascicular block"
"F445","Dissociative convulsions"
"R568","Other and unspecified convulsions"
"T846","Infection and inflammatory reaction due to internal fixation device [any site]"
"K265","Duodenal ulcer, chronic or unspecified with perforation"
"K593","Megacolon, not elsewhere classified"
"T876","Other and unspecified complications of amputation stump"
"D051","Intraductal carcinoma in situ of breast"
"I603","Subarachnoid haemorrhage from posterior communicating artery"
"M8995","Unspecified disorder of bone, pelvic region and thigh"
"O368","Maternal care for other specified fetal problems"
"O8482","Multiple delivery by combination of methods"
"S7240","Fracture of lower end of femur, part unspecified"
"M9078","Fracture of bone in neoplastic disease, other site"
"M2531","Other instability of joint, shoulder region"
"A049","Bacterial intestinal infection, unspecified"
"S021","Fracture of base of skull"
"I722","Aneurysm and dissection of renal artery"
"N61","Inflammatory disorders of breast"
"E65","Localised adiposity"
"M214","Flat foot [pes planus] (acquired)"
"G952","Cord compression, unspecified"
"K021","Caries of dentine"
"N859","Noninflammatory disorder of uterus, unspecified"
"B004","Herpesviral encephalitis"
"D508","Other iron deficiency anaemias"
"M4722","Other spondylosis with radiculopathy, cervical region"
"K435","Parastomal hernia without obstruction or gangrene"
"S022","Fracture of nasal bones"
"K317","Polyp of stomach and duodenum"
"L721","Trichilemmal cyst"
"N025","Recurrent and persistent haematuria, diffuse mesangiocapillary glomerulonephritis"
"F058","Other delirium"
"S2203","Fracture of thoracic vertebra, T5 and T6 level"
"K388","Other specified diseases of appendix"
"L720","Epidermal cyst"
"I888","Other nonspecific lymphadenitis"
"C241","Malignant neoplasm of ampulla of Vater"
"I745","Embolism and thrombosis of iliac artery"
"K513","Ulcerative (chronic) rectosigmoiditis"
"C437","Malignant melanoma of lower limb, including hip"
"J324","Chronic pansinusitis"
"M202","Hallux rigidus"
"S680","Traumatic amputation of thumb (complete)(partial)"
"F339","Recurrent depressive disorder, unspecified"
"J381","Polyp of vocal cord and larynx"
"E1165","Type 2 diabetes mellitus with poor control"
"S052","Ocular laceration and rupture with prolapse or loss of intraocular tissue"
"G562","Lesion of ulnar nerve"
"K758","Other specified inflammatory liver diseases"
"M0005","Staphylococcal arthritis and polyarthritis, pelvic region and thigh"
"Z490","Preparatory care for dialysis"
"F1681","Mental and behavioural disorders due to use of hallucinogens, other mental and behavioural disorders, ketamine"
"K090","Developmental odontogenic cysts"
"I609","Subarachnoid haemorrhage, unspecified"
"P704","Other neonatal hypoglycaemia"
"L9050","Scar conditions and fibrosis of skin, unspecified cause"
"F019","Vascular dementia, unspecified"
"T861","Kidney transplant failure and rejection"
"C865","Angioimmunoblastic T-cell lymphoma"
"G819","Hemiplegia, unspecified"
"D223","Melanocytic naevi of other and unspecified parts of face"
"Q8702","Acrocephalosyndactyly"
"M4197","Unspecified scoliosis, lumbosacral region"
"K500","Crohn's disease of small intestine"
"O074","Failed medical abortion, without complication"
"O470","False labour before 37 completed weeks of gestation"
"P130","Fracture of skull due to birth trauma"
"Z488","Other specified surgical follow-up care"
"J129","Viral pneumonia, unspecified"
"C024","Malignant neoplasm of lingual tonsil"
"L984","Chronic ulcer of skin, not elsewhere classified"
"R190","Intra-abdominal and pelvic swelling, mass and lump"
"E050","Thyrotoxicosis with diffuse goitre"
"K4030","Unilateral or unspecified inguinal hernia, with obstruction, without gangrene, not specified as recurrent"
"N939","Abnormal uterine and vaginal bleeding, unspecified"
"M1917","Post traumatic arthrosis of other joints, ankle and foot"
"K264","Duodenal ulcer, chronic or unspecified with haemorrhage"
"C632","Malignant neoplasm of scrotum"
"C7988","Secondary malignant neoplasm of other specified sites"
"I742","Embolism and thrombosis of arteries of upper extremities"
"J341","Cyst and mucocele of nose and nasal sinus"
"N921","Excessive and frequent menstruation with irregular cycle"
"E875","Hyperkalaemia"
"K255","Gastric ulcer, chronic or unspecified with perforation"
"Q8713","Noonan syndrome"
"T181","Foreign body in oesophagus"
"S651","Injury of radial artery at wrist and hand level"
"B027","Disseminated zoster"
"K3188","Other specified diseases of stomach and duodenum"
"G908","Other disorders of autonomic nervous system"
"K8030","Calculus of bile duct with cholangitis, without mention of obstruction"
"I663","Occlusion and stenosis of cerebellar arteries"
"O2442","Diabetes mellitus arising during pregnancy, insulin treated"
"M1006","Idiopathic gout, lower leg"
"K5792","Diverticulitis of intestine, part unspecified, without perforation, abscess or mention of haemorrhage"
"S6212","Fracture of triquetral bone of wrist"
"M8694","Unspecified osteomyelitis, hand"
"N949","Unspecified condition associated with female genital organs and menstrual cycle"
"H250","Senile incipient cataract"
"K220","Achalasia of cardia"
"C822","Follicular lymphoma grade 3, unspecified"
"K721","Chronic hepatic failure"
"D127","Benign neoplasm of rectosigmoid junction"
"M2585","Other specified joint disorders, pelvic region and thigh"
"K501","Crohn's disease of large intestine"
"N368","Other specified disorders of urethra"
"L024","Cutaneous abscess, furuncle and carbuncle of limb"
"E039","Hypothyroidism, unspecified"
"K602","Anal fissure, unspecified"
"D414","Neoplasm of uncertain or unknown behaviour of bladder"
"N900","Mild vulvar dysplasia"
"K603","Anal fistula"
"H045","Stenosis and insufficiency of lacrimal passages"
"S8218","Other fracture of upper end of tibia"
"G711","Myotonic disorders"
"I514","Myocarditis, unspecified"
"D067","Carcinoma in situ of other parts of cervix"
"J848","Other specified interstitial pulmonary diseases"
"C189","Malignant neoplasm of colon, unspecified part"
"A6301","Perianal (venereal) warts"
"R688","Other specified general symptoms and signs"
"M8448","Pathological fracture, not elsewhere classified, other site"
"M7155","Other bursitis, not elsewhere classified, pelvic region and thigh"
"M8795","Unspecified osteonecrosis, pelvic region and thigh"
"O039","Spontaneous abortion, complete or unspecified, without complication"
"T391","4-Aminophenol derivatives"
"N802","Endometriosis of fallopian tube"
"M2186","Other specified acquired deformities of limbs, lower leg"
"M4199","Unspecified scoliosis, site unspecified"
"N805","Endometriosis of intestine"
"D371","Neoplasm of uncertain or unknown behaviour of stomach"
"H830","Labyrinthitis"
"B181","Chronic viral hepatitis B without delta-agent"
"H610","Perichondritis of external ear"
"R14","Flatulence and related conditions"
"K518","Other ulcerative colitis"
"K562","Volvulus"
"C185","Malignant neoplasm of splenic flexure"
"M4119","Juvenile idiopathic scoliosis, site unspecified"
"Z097","Follow-up examination after combined treatment for other conditions"
"M2597","Unspecified joint disorder, ankle and foot"
"S8344","Rupture of medial collateral ligament"
"S860","Injury of Achilles tendon"
"D044","Carcinoma in situ of skin of scalp and neck"
"S3201","Fracture of lumbar vertebra, L1 level"
"F104","Mental and behavioural disorders due to use of alcohol, withdrawal state with delirium"
"S0085","Superficial injury of other parts of head, contusion"
"C181","Malignant neoplasm of appendix"
"D1804","Haemangioma, structures of the digestive system"
"S643","Injury of digital nerve of thumb"
"I81","Portal vein thrombosis"
"M546","Pain in thoracic spine"
"N821","Other female urinary-genital tract fistulae"
"D237","Other benign neoplasms of skin of lower limb, including hip"
"I518","Other ill-defined heart diseases"
"G251","Drug-induced tremor"
"D091","Carcinoma in situ of other and unspecified urinary organs"
"O300","Twin pregnancy"
"T818","Other complications of procedures, not elsewhere classified"
"Q504","Embryonic cyst of fallopian tube"
"S5220","Fracture of shaft of ulna, part unspecified"
"D320","Benign neoplasm of cerebral meninges"
"D175","Benign lipomatous neoplasm of intra-abdominal organs"
"L9051","Scar conditions and fibrosis of skin due to burn"
"K5732","Diverticulitis of large intestine without perforation, abscess or mention of haemorrhage"
"O841","Multiple delivery, all by forceps and vacuum extractor"
"C712","Malignant neoplasm of temporal lobe"
"N816","Rectocele"
"N182","Chronic kidney disease, stage 2"
"I652","Occlusion and stenosis of carotid artery"
"M2137","Wrist or foot drop (acquired), ankle and foot"
"L82","Seborrhoeic keratosis"
"H029","Disorder of eyelid, unspecified"
"T849","Unspecified complication of internal orthopaedic prosthetic device, implant and graft"
"E249","Cushing's syndrome, unspecified"
"C249","Malignant neoplasm of biliary tract, unspecified"
"C492","Malignant neoplasm of connective and soft tissue of lower limb, including hip"
"D619","Aplastic anaemia, unspecified"
"Z038","Observation for other suspected diseases and conditions"
"N480","Leukoplakia of penis"
"R32","Unspecified urinary incontinence"
"O840","Multiple delivery, all spontaneous"
"E1151","Type 2 diabetes mellitus with peripheral angiopathy, without gangrene"
"N764","Abscess of vulva"
"M510","Lumbar and other intervertebral disc disorders with myelopathy"
"M968","Other postprocedural musculoskeletal disorders"
"M80973","Basal cell carcinoma, nodular"
"Y0409","Assault by bodily force, unspecified person"
"I454","Nonspecific intraventricular block"
"I872","Venous insufficiency (chronic)(peripheral)"
"M84803","Mucinous adenocarcinoma"
"M82630","Tubulovillous adenoma NOS"
"E876","Hypokalaemia"
"S0631","Focal cerebral contusion"
"K863","Pseudocyst of pancreas"
"Y831","Surgical operation with implant of artificial internal device"
"S8238","Other fracture of lower end of tibia"
"P599","Neonatal jaundice, unspecified"
"T8902","Open wound with infection"
"P0712","Other low birth weight 1250 - 1499g"
"Z921","Personal history of long term (current) use of anticoagulants"
"M80703","Squamous cell carcinoma NOS"
"M85213","Infiltrating ductular carcinoma"
"Z352","Supervision of pregnancy with other poor reproductive or obstetric history"
"F419","Anxiety disorder, unspecified"
"S729","Fracture of femur, part unspecified"
"O757","Vaginal delivery following previous caesarean section"
"M6581","Other synovitis and tenosynovitis, shoulder region"
"O091","Duration of pregnancy 5-13 completed weeks"
"M81403","Adenocarcinoma NOS"
"K660","Peritoneal adhesions"
"J338","Other polyp of sinus"
"M85503","Acinar cell carcinoma"
"B9681","Helicobacter pylori [H. pylori] as the cause of diseases classified to other chapters"
"K2971","Gastritis, unspecified, with haemorrhage"
"O680","Labour and delivery complicated by fetal heart rate anomaly"
"W026","Fall involving scooter, nonpowered"
"M83803","Endometrioid adenocarcinoma NOS"
"E1022","Type 1 diabetes mellitus with established diabetic nephropathy"
"Z370","Single live birth"
"O2444","Diabetes mellitus arising during pregnancy, other"
"S461","Injury of muscle and tendon of long head of biceps"
"X58","Exposure to other specified factors"
"M85603","Adenosquamous carcinoma"
"W540","Bitten by dog"
"S0266","Fracture of symphysis of body"
"S0602","Loss of consciousness of brief duration [less than 30 minutes]"
"S664","Injury of intrinsic muscle and tendon of thumb at wrist and hand level"
"M98113","B lymphoblastic leukaemia/lymphoma, NOS"
"C771","Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes"
"R945","Abnormal results of liver function studies"
"B956","Staphylococcus aureus as the cause of diseases classified to other chapters"
"I10","Essential (primary) hypertension"
"R410","Disorientation, unspecified"
"B370","Candidal stomatitis"
"S640","Injury of ulnar nerve at wrist and hand level"
"B962","Escherichia coli [E. coli] as the cause of diseases classified to other chapters"
"W189","Unspecified fall on same level"
"S7300","Dislocation of hip, unspecified"
"N19","Unspecified kidney failure"
"O342","Maternal care due to uterine scar from previous surgery"
"R470","Dysphasia and aphasia"
"S271","Traumatic haemothorax"
"O4211","Premature rupture of membranes, onset of labour between 1-7 days later"
"Y836","Removal of other organ (partial)(total)"
"B965","Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters"
"M80103","Carcinoma NOS"
"E441","Mild protein-energy malnutrition"
"M91600","Angiofibroma NOS"
"W178","Other specified fall from one level to another"
"M89803","Carcinosarcoma NOS"
"P0713","Other low birth weight 1500 - 2499g"
"E119","Type 2 diabetes mellitus without complication"
"O730","Retained placenta without haemorrhage"
"M80463","Non-small cell carcinoma"
"X50","Overexertion and strenuous or repetitive movements"
"M80923","Infiltrating basal cell carcinoma NOS"
"Z955","Presence of coronary angioplasty implant and graft"
"R060","Dyspnoea"
"X59","Exposure to unspecified factor"
"Z832","Family history of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"D252","Subserosal leiomyoma of uterus"
"O688","Labour and delivery complicated by other evidence of fetal stress"
"B957","Other staphylococcus as the cause of diseases classified to other chapters"
"S341","Other injury of lumbar spinal cord [conus medullaris]"
"G553","Nerve root and plexus compressions in other dorsopathies (M45-M46+, M48.-+, M53-M54+)"
"K048","Radicular cyst"
"W49","Exposure to other and unspecified inanimate mechanical forces"
"N838","Other noninflammatory disorders of ovary, fallopian tube and broad ligament"
"O322","Maternal care for transverse and oblique lie"
"M80903","Basal cell carcinoma NOS"
"F432","Adjustment disorders"
"R748","Abnormal levels of other serum enzymes"
"M2359","Chronic instability, unspecified ligament or unspecified meniscus"
"M224","Chondromalacia patellae"
"E109","Type 1 diabetes mellitus without complication"
"S654","Injury of blood vessel(s) of thumb"
"S442","Injury of radial nerve at upper arm level"
"M755","Bursitis of shoulder"
"W19","Unspecified fall"
"N288","Other specified disorders of kidney and ureter"
"K5790","Diverticulosis of intestine, part unspecified, without perforation, abscess or mention of haemorrhage"
"E1129","Type 2 diabetes mellitus with other specified kidney complication"
"M82110","Tubular adenoma NOS"
"M80701","Squamous cell tumour, uncertain whether benign or malignant"
"I509","Heart failure, unspecified"
"Z8643","Personal history of tobacco use disorder"
"O420","Premature rupture of membranes, onset of labour within 24 hours"
"E1139","Type 2 diabetes mellitus with other specified ophthalmic complication"
"S2242","Multiple rib fractures, involving two ribs"
"L574","Cutis laxa senilis"
"N841","Polyp of cervix uteri"
"H522","Astigmatism"
"F411","Generalised anxiety disorder"
"O631","Prolonged second stage (of labour)"
"O682","Labour and delivery complicated by fetal heart rate anomaly with meconium in amniotic fluid"
"S0153","Open wound of gum (alveolar process)"
"H46","Optic neuritis"
"W011","Fall on same level from tripping "
"M92603","Ewing sarcoma"
"M90643","Germinoma"
"M81453","Carcinoma, diffuse type"
"V2809","Motorcycle rider injured in noncollision transport accident, driver, nontraffic accident, unspecified motorcycle"
"R572","Septic shock"
"T3100","Burns involving less than 10% of body surface, with less than 10 % or unspecified full thickness burns"
"Z942","Lung transplant status"
"Y830","Surgical operation with transplant of whole organ"
"L9059","Scar conditions and fibrosis of skin due to other specified cause"
"M81202","Transitional cell carcinoma in situ"
"S202","Contusion of thorax"
"S3183","Open wound (of any part of abdomen, lower back and pelvis) communicating with an intra-abdominal injury"
"V2349","Motorcycle rider injured in collision with car, pick-up truck or van, driver, traffic accident, unspecified motorcycle"
"M85003","Infiltrating duct carcinoma NOS"
"O48","Prolonged pregnancy"
"Y525","Other antihypertensive drugs, not elsewhere classified causing adverse effects in therapeutic use"
"E1164","Type 2 diabetes mellitus with hypoglycaemia"
"W230","Caught, crushed, jammed or pinched in or between door"
"N854","Malposition of uterus"
"R065","Mouth breathing"
"M80812","Bowen disease"
"R000","Tachycardia, unspecified"
"S2688","Other injuries of heart"
"M2321","Derangement of anterior horn of medial meniscus due to old tear or injury"
"C851","B-cell lymphoma, unspecified"
"Y400","Penicillins causing adverse effects in therapeutic use"
"H612","Impacted cerumen"
"G309","Alzheimer's disease, unspecified"
"Z855","Personal history of malignant neoplasm of urinary tract"
"M96803","Lymphoma, large B-cell, diffuse NOS"
"M82710","Prolactinoma"
"E440","Moderate protein-energy malnutrition"
"M82903","Oxyphilic adenocarcinoma"
"M5416","Radiculopathy, lumbar region"
"Z301","Insertion of contraceptive device"
"Z800","Family history of malignant neoplasm of digestive organs"
"M80003","Neoplasm, malignant"
"R468","Other symptoms and signs involving appearance and behaviour"
"S0120","Open wound of nose, part unspecified"
"S4224","Fracture of greater tuberosity of humerus"
"K598","Other specified functional intestinal disorders"
"K861","Other chronic pancreatitis"
"F101","Mental and behavioural disorders due to use of alcohol, harmful use"
"N139","Obstructive and reflux uropathy, unspecified"
"M88900","Leiomyoma NOS"
"K228","Other specified diseases of oesophagus"
"W010","Fall on same level from slipping"
"S6181","Open wound (of any part of wrist and hand) communicating with a fracture"
"B952","Streptococcus, group D, as the cause of diseases classified to other chapters"
"R18","Ascites"
"V2802","Motorcycle rider injured in noncollision transport accident, driver, nontraffic accident, motorcycle designed primarily for off-road use"
"V2891","Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider, traffic accident, motorcycle designed primarily for on-road use"
"O703","Fourth degree perineal laceration during delivery"
"H659","Nonsuppurative otitis media, unspecified"
"M80466","Non-small cell carcinoma, metastatic"
"M81203","Transitional cell carcinoma NOS"
"L891","Stage II decubitus ulcer and pressure area"
"L280","Lichen simplex chronicus"
"Z305","Surveillance of contraceptive device"
"B9688","Other and unspecified bacterial agents as the cause of diseases classified to other chapters"
"T671","Heat syncope"
"E1172","Type 2 diabetes mellitus with features of insulin resistance"
"E559","Vitamin D deficiency, unspecified"
"J9611","Chronic respiratory failure, type II"
"H109","Conjunctivitis, unspecified"
"Z3900","Postpartum care and examination after delivery, unspecified"
"Y11","Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"
"Y841","Kidney dialysis as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
"Z8718","Personal history of other digestive system disease"
"N183","Chronic kidney disease, stage 3"
"N858","Other specified noninflammatory disorders of uterus"
"W03","Other fall on same level due to collision with, or pushing by, another person"
"M6226","Ischaemic infarction of muscle, lower leg"
"M9486","Other specified disorders of cartilage, lower leg"
"B9548","Streptococcus, other specified group, as the cause of diseases classified to other chapters"
"I979","Postprocedural disorder of circulatory system, unspecified"
"K746","Other and unspecified cirrhosis of liver"
"D140","Benign neoplasm of middle ear, nasal cavity and accessory sinuses"
"Y838","Other surgical procedures"
"K633","Ulcer of intestine"
"M81303","Papillary transitional cell carcinoma"
"R943","Abnormal results of cardiovascular function studies"
"K108","Other specified diseases of jaws"
"W20","Struck by thrown, projected or falling object"
"M2596","Unspecified joint disorder, lower leg"
"Q2111","Patent or persistent foramen ovale"
"S968","Injury of other muscles and tendons at ankle and foot level"
"W319","Contact with unspecified machinery"
"Z858","Personal history of malignant neoplasms of other organs and systems"
"M6586","Other synovitis and tenosynovitis, lower leg"
"S9340","Sprain and strain of ankle, part unspecified"
"I071","Tricuspid insufficiency"
"I728","Aneurysm and dissection of other specified arteries"
"T921","Sequelae of fracture of forearm and upper arm"
"G542","Cervical root disorders, not elsewhere classified"
"Z018","Other specified special examinations"
"M2325","Derangement of posterior horn of lateral meniscus due to old tear or injury"
"O701","Second degree perineal laceration during delivery"
"M81300","Papillary transitional cell neoplasm"
"W109","Fall on and from other and unspecified stairs and steps"
"M2576","Osteophyte, lower leg"
"I480","Paroxysmal atrial fibrillation"
"R798","Other specified abnormal findings of blood chemistry"
"L900","Lichen sclerosus et atrophicus"
"H431","Vitreous haemorrhage"
"M87203","Malignant melanoma NOS"
"S0601","Loss of consciousness of unspecified duration"
"P0711","Other low birth weight 1000 - 1249g"
"P0703","Extremely low birth weight 750 - 999g"
"J860","Pyothorax with fistula"
"L304","Erythema intertrigo"
"S8231","Other fracture of lower end of tibia with fracture of fibula (any part)"
"R040","Epistaxis"
"K928","Other specified diseases of digestive system"
"Z911","Personal history of noncompliance with medical treatment and regimen"
"Y523","Coronary vasodilators, not elsewhere classified causing adverse effects in therapeutic use"
"Z441","Fitting and adjustment of artificial leg (complete)(partial)"
"M84410","Serous cystadenoma NOS"
"O603","Preterm delivery without spontaneous labour"
"Z372","Twins, both liveborn"
"D292","Benign neoplasm of testis"
"S6260","Fracture of phalanx, part unspecified"
"M94403","Glioblastoma NOS"
"T796","Traumatic ischaemia of muscle"
"T931","Sequelae of fracture of femur"
"W012","Fall on same level from stumbling"
"I693","Sequelae of cerebral infarction"
"K659","Peritonitis, unspecified"
"N304","Irradiation cystitis"
"S0628","Other diffuse cerebral and cerebellar injury"
"I490","Ventricular fibrillation and flutter"
"G610","Guillain-Barre syndrome"
"E1101","Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycaemic-hyperosmolar coma [NKHHC]"
"O438","Other placental disorders"
"T253","Full thickness burn of ankle and foot"
"B005","Herpesviral ocular disease"
"M98613","Acute myeloid leukaemia NOS"
"I638","Other cerebral infarction"
"W290","Contact with powered grinder"
"W069","Fall involving unspecified bed"
"E1122","Type 2 diabetes mellitus with established diabetic nephropathy"
"E46","Unspecified protein-energy malnutrition"
"G629","Polyneuropathy, unspecified"
"F607","Dependent personality disorder"
"M81400","Adenoma NOS"
"Z9665","Presence of knee implant"
"F050","Delirium not superimposed on dementia, so described"
"V2702","Motorcycle rider injured in collision with fixed or stationary object, driver, nontraffic accident, motorcycle designed primarily for off-road use"
"E230","Hypopituitarism"
"T983","Sequelae of complications of surgical and medical care, not elsewhere classified"
"M97323","Multiple myeloma"
"J173","Pneumonia in parasitic diseases"
"I614","Intracerebral haemorrhage in cerebellum"
"M90503","Mesothelioma, malignant"
"P0702","Extremely low birth weight 500 - 749g"
"D465","Refractory anaemia with multilineage dysplasia"
"M96893","Splenic marginal zone B-cell lymphoma"
"M96733","Mantle cell lymphoma"
"Q250","Patent ductus arteriosus"
"X9999","Assault by sharp object, unspecified, unspecified person"
"Z290","Isolation"
"S1095","Superficial injury of neck, part unspecified, contusion"
"M98363","Precursor B-cell lymphoblastic leukaemia"
"M82603","Papillary adenocarcinoma NOS"
"M87206","Malignant melanoma NOS, metastatic"
"P059","Slow fetal growth, unspecified"
"Z246","Need for immunisation against viral hepatitis"
"M0696","Rheumatoid arthritis, unspecified, lower leg"
"K658","Other peritonitis"
"M2437","Pathological dislocation and subluxation of joint, not elsewhere classified, ankle and foot"
"Y450","Opioids and related analgesics causing adverse effects in therapeutic use"
"S6182","Open wound (of any part of wrist and hand) communicating with a dislocation"
"H55","Nystagmus and other irregular eye movements"
"M90706","Embryonal carcinoma NOS, metastatic"
"J101","Influenza with other respiratory manifestations, other influenza virus identified"
"D683","Haemorrhagic disorder due to circulating anticoagulants"
"I635","Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries"
"N312","Flaccid neuropathic bladder, not elsewhere classified"
"I351","Aortic (valve) insufficiency"
"M80106","Carcinoma, metastatic NOS"
"V030","Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"
"S5181","Open wound (of any part of forearm) communicating with a fracture"
"S2202","Fracture of thoracic vertebra, T3 and T4 level"
"S830","Dislocation of patella"
"M752","Bicipital tendinitis"
"M2329","Derangement of meniscus, unspecified, due to old tear or injury"
"N059","Unspecified nephritic syndrome, unspecified"
"C859","Non-Hodgkin lymphoma, unspecified"
"R002","Palpitations"
"S568","Injury of other and unspecified muscles and tendons at forearm level"
"E1064","Type 1 diabetes mellitus with hypoglycaemia"
"C439","Malignant melanoma of skin, unspecified"
"M8436","Stress fracture, not elsewhere classified, lower leg"
"N189","Chronic kidney disease, unspecified"
