Data Element Name,Code Set Identifier,Code Set Type,Code,Descriptor,Program/Stream Restriction
Episode Campus Code,HL70115,Code Set,2970,Broadmeadows Health Service,
Episode Campus Code,HL70115,Code Set,1090,Bundoora Extended Care Centre,
Episode Campus Code,HL70115,Code Set,3050,Calvary Health Care Bethlehem,
Episode Campus Code,HL70115,Code Set,2080,"Caritas Christi Hospice, Ltd",
Episode Campus Code,HL70115,Code Set,3660,Casey Hospital,
Episode Campus Code,HL70115,Code Set,5010,Castlemaine Health,
Episode Campus Code,HL70115,Code Set,2580,Central Gippsland Health Service - Maffra,
Episode Campus Code,HL70115,Code Set,2060,Central Gippsland Health Service - Sale,
Episode Campus Code,HL70115,Code Set,03301A,Central Grampians Palliative Care,
Episode Campus Code,HL70115,Code Set,2130,Cohuna District Hospital,
Episode Campus Code,HL70115,Code Set,1130,Colac Area Health,
Episode Campus Code,HL70115,Code Set,3670,Craigieburn Health Service,
Episode Campus Code,HL70115,Code Set,2650,Cranbourne Integrated Care Centre,
Episode Campus Code,HL70115,Code Set,3020,Djerriwarrh Health Service,
Episode Campus Code,HL70115,Code Set,1101,East Grampians Health Service [Ararat],
Episode Campus Code,HL70115,Code Set,1102,East Grampians Health Service [Willaura],
Episode Campus Code,HL70115,Code Set,10797A,Eastern Palliative Care Association,
Episode Campus Code,HL70115,Code Set,2180,Echuca Regional Health ,
Episode Campus Code,HL70115,Code Set,2220,Frankston Hospital,
Episode Campus Code,HL70115,Code Set,06424A,Gippsland Lakes Community Health,
Episode Campus Code,HL70115,Code Set,4083,Golf Links Road Rehabilitation and PCU,
Episode Campus Code,HL70115,Code Set,1121,Goulburn Valley Health [Shepparton],
Episode Campus Code,HL70115,Code Set,11587A,Goulburn Valley Hospice Care Inc.,
Episode Campus Code,HL70115,Code Set,3330,Healesville and District Hospital,
Episode Campus Code,HL70115,Code Set,1340,Heathcote Health,
Episode Campus Code,HL70115,Code Set,1032,Heidelberg Repatriation Hospital,
Episode Campus Code,HL70115,Code Set,4162,Hepburn Health Service [Creswick],
Episode Campus Code,HL70115,Code Set,4161,Hepburn Health Service [Daylesford],
Episode Campus Code,HL70115,Code Set,3370,Inglewood & District Health Service,
Episode Campus Code,HL70115,Code Set,02735A,Inner South Community Health Service,
Episode Campus Code,HL70115,Code Set,2240,Kerang District Health,
Episode Campus Code,HL70115,Code Set,2251,Korumburra Hospital,
Episode Campus Code,HL70115,Code Set,1260,Kyabram and District Health Services,
Episode Campus Code,HL70115,Code Set,1270,Kyneton District Health Service,
Episode Campus Code,HL70115,Code Set,06178A,Latrobe Community Health,
Episode Campus Code,HL70115,Code Set,2440,Latrobe Regional Hospital,
Episode Campus Code,HL70115,Code Set,2252,Leongatha Memorial Hospital,
Episode Campus Code,HL70115,Code Set,03541A,Lower Hume Palliative Care,
Episode Campus Code,HL70115,Code Set,9001,Lyndoch Warrnambool,
Episode Campus Code,HL70115,Code Set,06418A,Macedon Ranges Palliative Care,
Episode Campus Code,HL70115,Code Set,1210,Maroondah Hospital [East Ringwood],
Episode Campus Code,HL70115,Code Set,1351,Maryborough District Health Service - Maryborough,
Episode Campus Code,HL70115,Code Set,10292A,Melbourne Citymission Palliative Care,
Episode Campus Code,HL70115,Code Set,3680,Melton Health,
Episode Campus Code,HL70115,Code Set,1160,Mercy Hospital for Women,
Episode Campus Code,HL70115,Code Set,1320,Mercy Werribee Hospital,
Episode Campus Code,HL70115,Code Set,03129A,Mercy Hospice Inc.,
Episode Campus Code,HL70115,Code Set,2320,Mildura Base Hospital,
Episode Campus Code,HL70115,Code Set,11473A,Moira Palliative Care,
Episode Campus Code,HL70115,Code Set,1220,Monash Medical Centre [Moorabbin],
Episode Campus Code,HL70115,Code Set,1170,Monash Medical Centre Clayton,
Episode Campus Code,HL70115,Code Set,4084,Mornington Centre,
Episode Campus Code,HL70115,Code Set,10564A,North Richmond Community Health Service,
Episode Campus Code,HL70115,Code Set,1150,Northeast Health Wangaratta ,
Episode Campus Code,HL70115,Code Set,1280,"Northern Hospital, The [Epping]",
Episode Campus Code,HL70115,Code Set,3030,Numurkah District Health Service,
Episode Campus Code,HL70115,Code Set,10413A,Ovens and King Community Health Service,
Episode Campus Code,HL70115,Code Set,10730A,Peninsula Hospice Service,
Episode Campus Code,HL70115,Code Set,2120,Peter James Centre,
Episode Campus Code,HL70115,Code Set,1550,Peter MacCallum Cancer Institute,
Episode Campus Code,HL70115,Code Set,2460,Portland District Health,
Episode Campus Code,HL70115,Code Set,06613A,Portland Palliative Care,
Episode Campus Code,HL70115,Code Set,3140,Rochester & Elmore District Health Service,
Episode Campus Code,HL70115,Code Set,1250,Rosebud Hospital,
Episode Campus Code,HL70115,Code Set,4082,Rosebud Rehabilitation Unit,
Episode Campus Code,HL70115,Code Set,1191,Royal Children’s Hospital,
Episode Campus Code,HL70115,Code Set,1334,"Royal Melbourne Hospital, City Campus",
Episode Campus Code,HL70115,Code Set,1335,"Royal Melbourne Hospital, Royal Park Campus",
Episode Campus Code,HL70115,Code Set,3220,Royal Talbot Rehabilitation Centre,
Episode Campus Code,HL70115,Code Set,1240,Royal Victorian Eye and Ear Hospital,
Episode Campus Code,HL70115,Code Set,1230,Royal Women's Hospital,
Episode Campus Code,HL70115,Code Set,1360,Sandringham & District Memorial Hospital,
Episode Campus Code,HL70115,Code Set,2190,Seymour Health,
Episode Campus Code,HL70115,Code Set,10714A,South East Palliative Care Ltd,
Episode Campus Code,HL70115,Code Set,07230A,South Gippsland Palliative Care ,
Episode Campus Code,HL70115,Code Set,3080,South West Healthcare [Camperdown],
Episode Campus Code,HL70115,Code Set,2160,South West Healthcare [Warrnambool],
Episode Campus Code,HL70115,Code Set,2111,Southern Health - Dandenong Hospital ,
Episode Campus Code,HL70115,Code Set,2030,Southern Health - Kingston Centre,
Episode Campus Code,HL70115,Code Set,1700,St George’s Health Service,
Episode Campus Code,HL70115,Code Set,1450,St Vincent’s Hospital Melbourne,
Episode Campus Code,HL70115,Code Set,2260,Stawell Regional Health,
Episode Campus Code,HL70115,Code Set,2700,Sunbury Day Hospital,
Episode Campus Code,HL70115,Code Set,06729A,Sunraysia Community Health Service,
Episode Campus Code,HL70115,Code Set,1492,Swan Hill District Health [Nyah],
Episode Campus Code,HL70115,Code Set,1491,Swan Hill District Health [Swan Hill],
Episode Campus Code,HL70115,Code Set,1031,The Austin Hospital,
Episode Campus Code,HL70115,Code Set,2330,Wantirna Health,
Episode Campus Code,HL70115,Code Set,1580,West Gippsland Healthcare Group,
Episode Campus Code,HL70115,Code Set,1071,Western District Health Service (Hamilton),
Episode Campus Code,HL70115,Code Set,1072,Western District Health Service (Penshurst),
Episode Campus Code,HL70115,Code Set,1390,Western Health– Sunshine Campus,
Episode Campus Code,HL70115,Code Set,1180,Western Hospital [Footscray],
Episode Campus Code,HL70115,Code Set,06833A,WGHG Community Palliative Care ,
Episode Campus Code,HL70115,Code Set,1460,Williamstown Hospital,
Episode Campus Code,HL70115,Code Set,2170,Wimmera Health Care Group [Horsham],
Episode Campus Code,HL70115,Code Set,3690,Yarra Ranges Health,
Episode Campus Code,HL70115,Code Set,1770,Yarram & District Health Service,
Episode Campus Code,HL70115,Code Set,3050A,Ballarat Community Health ,
Episode Campus Code,HL70115,Code Set,3019A,Victorian Clinical Genetics Service,
Episode End Reason,HL70112,Code Set,1,Patient/client death or bereavement phase end,
Episode End Reason,HL70112,Code Set,2,Discharged to speciality palliative care provider,
Episode End Reason,HL70112,Code Set,3,Discharged to other health care provider,
Episode End Reason,HL70112,Code Set,4,Other reason,
Episode First Consultancy Flag,HL70092,Code Set,1,Yes,
Episode First Consultancy Flag,HL70092,Code Set,2,No,
Episode Health Conditions,990080,Code Set,0000,"Gastroenteritis, diarrhoea",
Episode Health Conditions,990080,Code Set,0015,Tuberculosis,
Episode Health Conditions,990080,Code Set,0080,Poliomyelitis,
Episode Health Conditions,990080,Code Set,0081,Viral infection of nervous system,
Episode Health Conditions,990080,Code Set,0100,"Measles, varicella, shingles",
Episode Health Conditions,990080,Code Set,0115,Acute hepatitis A,
Episode Health Conditions,990080,Code Set,0116,Acute hepatitis B,
Episode Health Conditions,990080,Code Set,0117,Other acute viral hepatitis,
Episode Health Conditions,990080,Code Set,0118,Other chronic viral hepatitis,
Episode Health Conditions,990080,Code Set,0119,Unspecified viral hepatitis,
Episode Health Conditions,990080,Code Set,0120,HIV,
Episode Health Conditions,990080,Code Set,0124,AIDS,
Episode Health Conditions,990080,Code Set,0125,Meningococcal infection,
Episode Health Conditions,990080,Code Set,0191,Sequelae of poliomyelitis,
Episode Health Conditions,990080,Code Set,0199,Other infectious diseases,
Episode Health Conditions,990080,Code Set,0200,Head and neck cancer,
Episode Health Conditions,990080,Code Set,0215,Upper Gastrointestinal cancer,
Episode Health Conditions,990080,Code Set,0218,Colorectal cancer,
Episode Health Conditions,990080,Code Set,0222,Endocrine and thyroid cancer,
Episode Health Conditions,990080,Code Set,0230,Lung cancer,
Episode Health Conditions,990080,Code Set,0240,Bone and articular cartilage cancer,
Episode Health Conditions,990080,Code Set,0243,Skin cancer,
Episode Health Conditions,990080,Code Set,0245,Soft tissue cancer,
Episode Health Conditions,990080,Code Set,0250,Breast cancer,
Episode Health Conditions,990080,Code Set,0251,Gynaecological cancer,
Episode Health Conditions,990080,Code Set,0260,Genitourinary cancer,
Episode Health Conditions,990080,Code Set,0269,Central Nervous System cancer,
Episode Health Conditions,990080,Code Set,0276,Other malignant tumours,
Episode Health Conditions,990080,Code Set,0279,Metastatic (secondary) malignancy,
Episode Health Conditions,990080,Code Set,0280,Secondary of unknown primary,
Episode Health Conditions,990080,Code Set,0281,Hodgkin's disease,
Episode Health Conditions,990080,Code Set,0282,Non-Hodgkin’s lymphoma,
Episode Health Conditions,990080,Code Set,0290,Leukaemia,
Episode Health Conditions,990080,Code Set,0299,Rare cancer,
Episode Health Conditions,990080,Code Set,0310,Other benign tumour,
Episode Health Conditions,990080,Code Set,0350,Anaemia,
Episode Health Conditions,990080,Code Set,0366,Haemophilia,
Episode Health Conditions,990080,Code Set,0370,Other diseases of blood ,
Episode Health Conditions,990080,Code Set,0380,Immunodeficiency disorder,
Episode Health Conditions,990080,Code Set,0400,Disorders of the thyroid gland ,
Episode Health Conditions,990080,Code Set,0440,Malnutrition,
Episode Health Conditions,990080,Code Set,0450,Nutritional deficiencies,
Episode Health Conditions,990080,Code Set,0465,Obesity,
Episode Health Conditions,990080,Code Set,0470,High cholesterol,
Episode Health Conditions,990080,Code Set,0475,Tay-Sachs disease,
Episode Health Conditions,990080,Code Set,0484,Cystic fibrosis,
Episode Health Conditions,990080,Code Set,0486,Dehydration,
Episode Health Conditions,990080,Code Set,0490,"Other endocrine, nutritional and metabolic disorders",
Episode Health Conditions,990080,Code Set,0491,Diabetes with peripheral vascular disease,
Episode Health Conditions,990080,Code Set,0492,Diabetes with renal impairment,
Episode Health Conditions,990080,Code Set,0493,Diabetes with other complication,
Episode Health Conditions,990080,Code Set,0500,Dementia,
Episode Health Conditions,990080,Code Set,0511,Drug and/or alcohol use causing mental and behavioural disorders,
Episode Health Conditions,990080,Code Set,0520,Schizophrenia,
Episode Health Conditions,990080,Code Set,0531,Bipolar,
Episode Health Conditions,990080,Code Set,0533,Depression,
Episode Health Conditions,990080,Code Set,0540,Anxiety related disorder,
Episode Health Conditions,990080,Code Set,0542,Obsessive-compulsive disorder,
Episode Health Conditions,990080,Code Set,0543,"Other neurotic, stress related and somatoform disorders",
Episode Health Conditions,990080,Code Set,0550,Anorexia nervosa,
Episode Health Conditions,990080,Code Set,0560,Personality disorder,
Episode Health Conditions,990080,Code Set,0570,Mental retardation/intellectual disability,
Episode Health Conditions,990080,Code Set,0580,Other developmental disability,
Episode Health Conditions,990080,Code Set,0598,Speech impediment,
Episode Health Conditions,990080,Code Set,0600,Meningitis and encephalitis,
Episode Health Conditions,990080,Code Set,0610,Huntington’s disease,
Episode Health Conditions,990080,Code Set,0612,Motor neurone disease,
Episode Health Conditions,990080,Code Set,0620,Parkinson’s disease,
Episode Health Conditions,990080,Code Set,0630,Alzheimer's disease,
Episode Health Conditions,990080,Code Set,0635,Multiple sclerosis,
Episode Health Conditions,990080,Code Set,0640,Epilepsy,
Episode Health Conditions,990080,Code Set,0643,Migraine,
Episode Health Conditions,990080,Code Set,0645,Transient cerebral ischaemic attacks,
Episode Health Conditions,990080,Code Set,0662,Guillain-Barre syndrome,
Episode Health Conditions,990080,Code Set,0671,Muscular dystrophy,
Episode Health Conditions,990080,Code Set,0680,Cerebral palsy,
Episode Health Conditions,990080,Code Set,0681,Paralysis,
Episode Health Conditions,990080,Code Set,0693,Chronic/postviral fatigue syndrome,
Episode Health Conditions,990080,Code Set,0695,Other diseases of spinal cord,
Episode Health Conditions,990080,Code Set,0699,Other disease of the nervous system,
Episode Health Conditions,990080,Code Set,0810,Hypertension,
Episode Health Conditions,990080,Code Set,0820,Angina,
Episode Health Conditions,990080,Code Set,0821,Acute myocardial infarction,
Episode Health Conditions,990080,Code Set,0825,Chronic ischaemic heart disease,
Episode Health Conditions,990080,Code Set,0826,Pulmonary embolism,
Episode Health Conditions,990080,Code Set,0827,Other pulmonary heart diseases,
Episode Health Conditions,990080,Code Set,0850,Congestive heart failure,
Episode Health Conditions,990080,Code Set,0864,Stroke,
Episode Health Conditions,990080,Code Set,0899,Other heart diseases,
Episode Health Conditions,990080,Code Set,0900,Acute upper respiratory infections,
Episode Health Conditions,990080,Code Set,0909,Influenza and pneumonia,
Episode Health Conditions,990080,Code Set,0920,Acute lower respiratory infections,
Episode Health Conditions,990080,Code Set,0944,Chronic lower respiratory diseases,
Episode Health Conditions,990080,Code Set,0945,Asthma,
Episode Health Conditions,990080,Code Set,0947,Bronchiectasis,
Episode Health Conditions,990080,Code Set,0981,Pulmonary oedema,
Episode Health Conditions,990080,Code Set,0999,Other pulmonary,
Episode Health Conditions,990080,Code Set,1000,Disorders of tooth development and eruption,
Episode Health Conditions,990080,Code Set,1044,Hernia,
Episode Health Conditions,990080,Code Set,1046,Intestinal obstruction without hernia,
Episode Health Conditions,990080,Code Set,1050,Crohn's disease,
Episode Health Conditions,990080,Code Set,1051,Ulcerative colitis,
Episode Health Conditions,990080,Code Set,1052,Inflammatory bowel disease,
Episode Health Conditions,990080,Code Set,1065,Diseases of the peritoneum,
Episode Health Conditions,990080,Code Set,1072,Hepatitic failure,
Episode Health Conditions,990080,Code Set,1077,Diseases of the liver,
Episode Health Conditions,990080,Code Set,1080,"Diseases of the gallbladder, biliary tract and pancreas",
Episode Health Conditions,990080,Code Set,1090,Other diseases of the digestive system,
Episode Health Conditions,990080,Code Set,1100,Skin and subcutaneous tissue infections,
Episode Health Conditions,990080,Code Set,1120,Skin allergies,
Episode Health Conditions,990080,Code Set,1140,Psoriasis,
Episode Health Conditions,990080,Code Set,1180,Pressure ulcer,
Episode Health Conditions,990080,Code Set,1199,Other diseases of the skin and subcutaneous tissue,
Episode Health Conditions,990080,Code Set,1205,Rheumatoid arthritis,
Episode Health Conditions,990080,Code Set,1215,Other arthritis and related disorders,
Episode Health Conditions,990080,Code Set,1279,Fibromyalgia,
Episode Health Conditions,990080,Code Set,1280,Osteoporosis with pathological fracture,
Episode Health Conditions,990080,Code Set,1281,Osteoporosis without pathological fracture,
Episode Health Conditions,990080,Code Set,1285,Other disorders of bone density and structure,
Episode Health Conditions,990080,Code Set,1299,Other disorders of the musculoskeletal system and connective tissue,
Episode Health Conditions,990080,Code Set,1300,Kidney and urinary system (bladder) disorders ,
Episode Health Conditions,990080,Code Set,1320,Calculus of kidney,
Episode Health Conditions,990080,Code Set,1330,Cystitis,
Episode Health Conditions,990080,Code Set,1338,Urinary tract infection,
Episode Health Conditions,990080,Code Set,1339,Urinary incontinence,
Episode Health Conditions,990080,Code Set,1340,Other diseases of the genitourinary system,
Episode Health Conditions,990080,Code Set,1377,"Gynaecological issues,  not otherwise specified",
Episode Health Conditions,990080,Code Set,1400,Pregnancy with abortive outcome,
Episode Health Conditions,990080,Code Set,1460,Preterm labour with preterm delivery,
Episode Health Conditions,990080,Code Set,1461,Complications of labour and delivery,
Episode Health Conditions,990080,Code Set,1480,Birth without complication,
Episode Health Conditions,990080,Code Set,1482,Birth by caesarean section,
Episode Health Conditions,990080,Code Set,1485,Birth with complications,
Episode Health Conditions,990080,Code Set,1505,Prematurity,
Episode Health Conditions,990080,Code Set,1521,Birth asphyxia,
Episode Health Conditions,990080,Code Set,1600,Congenital malformations of the nervous system,
Episode Health Conditions,990080,Code Set,1604,Other congenital malformations of the brain,
Episode Health Conditions,990080,Code Set,1605,Spina bifida,
Episode Health Conditions,990080,Code Set,1610,"Congenital malformations of eye, ear, face and neck",
Episode Health Conditions,990080,Code Set,1620,Congenital malformations of the circulatory system,
Episode Health Conditions,990080,Code Set,1630,Congenital malformations of the respiratory system,
Episode Health Conditions,990080,Code Set,1665,Congenital malformations and deformations of the musculoskeletal system,
Episode Health Conditions,990080,Code Set,1680,Other congenital malformations,
Episode Health Conditions,990080,Code Set,1713,Dysphagia,
Episode Health Conditions,990080,Code Set,1715,Bowel/faecal incontinence,
Episode Health Conditions,990080,Code Set,1718,Ascites,
Episode Health Conditions,990080,Code Set,1741,Disorientation,
Episode Health Conditions,990080,Code Set,1742,Dizziness,
Episode Health Conditions,990080,Code Set,1745,Symptoms and signs involving emotional state,
Episode Health Conditions,990080,Code Set,1751,Headache,
Episode Health Conditions,990080,Code Set,1752,"Pain, not elsewhere classified",
Episode Health Conditions,990080,Code Set,1753,Malaise and fatigue,
Episode Health Conditions,990080,Code Set,1755,Collapse,
Episode Health Conditions,990080,Code Set,1756,Convulsions,
Episode Health Conditions,990080,Code Set,1758,Haemorrhage,
Episode Health Conditions,990080,Code Set,1760,Oedema,
Episode Health Conditions,990080,Code Set,1769,Unknown and unspecified causes of morbidity,
Episode Health Conditions,990080,Code Set,1800,Injuries to the head,
Episode Health Conditions,990080,Code Set,1802,Fracture of skull,
Episode Health Conditions,990080,Code Set,1806,Intracranial injury,
Episode Health Conditions,990080,Code Set,1808,Amputation of part of head,
Episode Health Conditions,990080,Code Set,1810,Injuries to the neck,
Episode Health Conditions,990080,Code Set,1812,Fracture of neck,
Episode Health Conditions,990080,Code Set,1816,Injury of muscle and tendon at neck level,
Episode Health Conditions,990080,Code Set,1820,"Injuries to the thorax, abdomen, lower back, lumbar spine and pelvis",
Episode Health Conditions,990080,Code Set,1822,Fracture in thoracic region,
Episode Health Conditions,990080,Code Set,1823,"Dislocation, sprain of joints of thorax",
Episode Health Conditions,990080,Code Set,1826,Injury of heart,
Episode Health Conditions,990080,Code Set,1832,Fracture of lumbar spine and pelvis,
Episode Health Conditions,990080,Code Set,1833,"Dislocation, sprain of joint of lumbar spine and pelvis",
Episode Health Conditions,990080,Code Set,1836,Injury of intra-abdominal organs,
Episode Health Conditions,990080,Code Set,1840,Injuries to the shoulder and upper arm,
Episode Health Conditions,990080,Code Set,1842,Fracture of shoulder and upper arm,
Episode Health Conditions,990080,Code Set,1848,Amputation of shoulder and upper arm,
Episode Health Conditions,990080,Code Set,1850,"Injuries to the elbow, forearm, wrist and hand",
Episode Health Conditions,990080,Code Set,1852,"Fracture of elbow, forearm, wrist and hand",
Episode Health Conditions,990080,Code Set,1858,"Amputation of elbow, forearm, wrist and hand",
Episode Health Conditions,990080,Code Set,1870,Injuries of the hip and thigh,
Episode Health Conditions,990080,Code Set,1872,Fracture of femur,
Episode Health Conditions,990080,Code Set,1878,Amputation of hip and thigh,
Episode Health Conditions,990080,Code Set,1880,"Injuries to the knee, lower leg, ankle and foot",
Episode Health Conditions,990080,Code Set,1882,"Fracture of knee, lower leg, ankle and foot",
Episode Health Conditions,990080,Code Set,1888,"Amputation of lower leg, foot",
Episode Health Conditions,990080,Code Set,1899,Spinal cord injury,
Episode Health Conditions,990080,Code Set,1905,Amputation involving multiple limbs,
Episode Health Conditions,990080,Code Set,1920,Burns,
Episode Health Conditions,990080,Code Set,1982,Mechanical complication of other cardiac and vascular devices and implants ,
Episode Health Conditions,990080,Code Set,2219,Unspecified fall,
Episode Health Conditions,990080,Code Set,9998,Diagnosis Unclear,
Episode Health Conditions,990080,Code Set,9999,No impairment,
Episode Health Conditions,990080,Code Set,A101,Chronic obstructive pulmonary disease,
Episode Health Conditions,990080,Code Set,A104,Pulmonary fibrosis,
Episode Health Conditions,990080,Code Set,A131,Diabetic foot disease,
Episode Health Conditions,990080,Code Set,A132,Diabetes without complication,
Episode Health Conditions,990080,Code Set,A134,Post-operative (non-orthopaedic),
Episode Health Conditions,990080,Code Set,A135,Cancer,
Episode Health Conditions,990080,Code Set,A139,Other disabling impairment,
Episode Health Conditions,990080,Code Set,A141,Brain and spinal cord trauma,
Episode Health Conditions,990080,Code Set,A142,Brain and multiple fracture/amputation,
Episode Health Conditions,990080,Code Set,A143,Spinal cord and multiple fracture/amputation,
Episode Health Conditions,990080,Code Set,A149,Other major multiple trauma,
Episode Health Conditions,990080,Code Set,A160,Debility,
Episode Health Conditions,990080,Code Set,A173,Urinary and faecal incontinence,
Episode Health Conditions,990080,Code Set,A174,Voiding dysfunction,
Episode Health Conditions,990080,Code Set,A179,Other continence issues,
Episode Health Conditions,990080,Code Set,A189,Other mental health,
Episode Health Conditions,990080,Code Set,A191,Venous leg ulcers,
Episode Health Conditions,990080,Code Set,A192,Arterial leg ulcers,
Episode Health Conditions,990080,Code Set,A199,Other Wounds,
Episode Health Conditions,990080,Code Set,A200,Other geriatric management,
Episode Health Conditions,990080,Code Set,A212,Chronic Renal Disease,
Episode Health Conditions,990080,Code Set,A213,Chronic Renal Impairment,
Episode Health Conditions,990080,Code Set,A215,Fistula Blocked,
Episode Health Conditions,990080,Code Set,A216,Peritoneal Dialysis,
Episode Health Conditions,990080,Code Set,A217,Haemodialysis,
Episode Health Conditions,990080,Code Set,A218,Nephrotic Syndrome,
Episode Health Conditions,990080,Code Set,A229,Other infectious disease,
Episode Health Conditions,990080,Code Set,A33,Polyneuropathy,
Episode Health Conditions,990080,Code Set,A38,Other cognitive impairment,
Episode Health Conditions,990080,Code Set,A41,Paraplegia incomplete,
Episode Health Conditions,990080,Code Set,A42,Paraplegia complete,
Episode Health Conditions,990080,Code Set,A43,Quadriplegia incomplete C1-4,
Episode Health Conditions,990080,Code Set,A44,Quadriplegia incomplete C5-8,
Episode Health Conditions,990080,Code Set,A45,Quadriplegia complete C1-4,
Episode Health Conditions,990080,Code Set,A46,Quadriplegia complete C5-8,
Episode Health Conditions,990080,Code Set,A55,Amputation - double lower extremity above knee,
Episode Health Conditions,990080,Code Set,A56,Amputation - double lower extremity above/ below knee,
Episode Health Conditions,990080,Code Set,A57,Amputation - double lower extremity below knee,
Episode Health Conditions,990080,Code Set,A62,Osteoarthritis,
Episode Health Conditions,990080,Code Set,A71,Neck pain,
Episode Health Conditions,990080,Code Set,A72,Back pain,
Episode Health Conditions,990080,Code Set,A73,Extremity pain,
Episode Health Conditions,990080,Code Set,A81,Post hip fracture,
Episode Health Conditions,990080,Code Set,A82,Post femur (shaft) fracture,
Episode Health Conditions,990080,Code Set,A83,Post pelvic fracture,
Episode Health Conditions,990080,Code Set,A84,Post major multiple fracture,
Episode Health Conditions,990080,Code Set,A85,Post hip replacement,
Episode Health Conditions,990080,Code Set,A86,Post knee replacement,
Episode Health Conditions,990080,Code Set,A87,Post upper limb fracture,
Episode Health Conditions,990080,Code Set,A89,Other orthopaedic,
Episode Health Conditions,990080,Code Set,A99,Other cardiovascular,
Episode Malignancy Flag,990033,Code Set,1,Yes,
Episode Malignancy Flag,990033,Code Set,2,No,
Episode Other Factors Affecting Health,990036,Code Set,1100,Carer issue,
Episode Other Factors Affecting Health,990036,Code Set,1200,Child care and education issue,
Episode Other Factors Affecting Health,990036,Code Set,1300,Concern about intervention/ treatment,
Episode Other Factors Affecting Health,990036,Code Set,1400,Cultural and language spoken issue,
Episode Other Factors Affecting Health,990036,Code Set,1500,Daily living issue,
Episode Other Factors Affecting Health,990036,Code Set,1600,Disease management issue,
Episode Other Factors Affecting Health,990036,Code Set,1601,Issues in self-management,
Episode Other Factors Affecting Health,990036,Code Set,1602,Health literacy,
Episode Other Factors Affecting Health,990036,Code Set,1700,Emotional/ behavioural/ mental health issue,
Episode Other Factors Affecting Health,990036,Code Set,1800,Employment issue,
Episode Other Factors Affecting Health,990036,Code Set,1900,Environmental issue,
Episode Other Factors Affecting Health,990036,Code Set,2000,Ethical/ professional issue,
Episode Other Factors Affecting Health,990036,Code Set,2100,Family & other relationships issue,
Episode Other Factors Affecting Health,990036,Code Set,2200,"Fetal, infant, child and adolescent development issue",
Episode Other Factors Affecting Health,990036,Code Set,2300,Financial issue,
Episode Other Factors Affecting Health,990036,Code Set,2401,Eviction Issue,
Episode Other Factors Affecting Health,990036,Code Set,2402,Homelessness,
Episode Other Factors Affecting Health,990036,Code Set,2403,Need for emergency accommodation,
Episode Other Factors Affecting Health,990036,Code Set,2404,Need for sheltered accommodation,
Episode Other Factors Affecting Health,990036,Code Set,2405,Need for supported accommodation,
Episode Other Factors Affecting Health,990036,Code Set,2406,Tenancy issues,
Episode Other Factors Affecting Health,990036,Code Set,2407,Unsuitable accommodation,
Episode Other Factors Affecting Health,990036,Code Set,2408,Other housing issue,
Episode Other Factors Affecting Health,990036,Code Set,2500,Immigration issue,
Episode Other Factors Affecting Health,990036,Code Set,2600,Immunisation required,
Episode Other Factors Affecting Health,990036,Code Set,2700,Isolation issue,
Episode Other Factors Affecting Health,990036,Code Set,2800,Issue due to other misadventure,
Episode Other Factors Affecting Health,990036,Code Set,2801,Issue due to falling,
Episode Other Factors Affecting Health,990036,Code Set,2802,Issues due to medication,
Episode Other Factors Affecting Health,990036,Code Set,2900,Learning issue,
Episode Other Factors Affecting Health,990036,Code Set,3000,Legal issue,
Episode Other Factors Affecting Health,990036,Code Set,3100,Maltreatment issue,
Episode Other Factors Affecting Health,990036,Code Set,3200,Negligence/ adverse result issue,
Episode Other Factors Affecting Health,990036,Code Set,3300,Nutrition & eating issue,
Episode Other Factors Affecting Health,990036,Code Set,3500,Promotion/ prevention required,
Episode Other Factors Affecting Health,990036,Code Set,3600,Public safety issue,
Episode Other Factors Affecting Health,990036,Code Set,3700,Sexuality issue,
Episode Other Factors Affecting Health,990036,Code Set,3800,Spiritual/ religious issue,
Episode Other Factors Affecting Health,990036,Code Set,3900,Verbal communication issue,
Episode Other Factors Affecting Health,990036,Code Set,4001,Other psychosocial issue,
Episode Other Factors Affecting Health,990036,Code Set,4100,Palliative,
Episode Other Factors Affecting Health,990036,Code Set,4101,Non-Weight Bearing,
Episode Other Factors Affecting Health,990036,Code Set,4102,Functional Decline,
Episode Other Factors Affecting Health,990036,Code Set,4103,Patient/ Client Utilises Home Oxygen,
Episode Other Factors Affecting Health,990036,Code Set,4104,Presence of PEG ,*RIR
Episode Other Factors Affecting Health,990036,Code Set,4105,Presence of catheter,*RIR
Episode Other Factors Affecting Health,990036,Code Set,4106,Presence of stoma,*RIR
Episode Other Factors Affecting Health,990036,Code Set,9998,Not stated/ inadequately described,
Episode Other Factors Affecting Health,990036,Code Set,9999,No issue identified,
Episode Pathway Type,990078,Code Set,AB1,Episode First Appointment Booked Date,
Episode Pathway Type,990078,Code Set,ACPD,Episode Advance Care Plan Documented Date,
Episode Pathway Type,990078,Code Set,CPD,Episode Care Plan Documented Date,
Episode Pathway Type,990078,Code Set,HD,Episode Hospital Discharge Date,
Episode Pathway Type,990078,Code Set,IO,Episode Impairment Onset Date,
Episode Pathway Type,990078,Code Set,PNAB1,Episode Patient/Client Notified of First Appointment Date,
Episode Pathway Type,990078,Code Set,TCPTB,Episode TCP Transition to Bed Based Care,
